,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,69.03600,滚动弹幕,25,0xffffff,0,fabc6a5c,46655133895884803,政治有手就行
2,318.21600,滚动弹幕,25,0xffffff,0,2eeb4acc,46632121872678917,谢谢明天试试
3,120.65500,滚动弹幕,25,0xffffff,0,48ada36c,46608433422008325,妙啊
4,203.83100,滚动弹幕,25,0xffffff,0,e3f9cf9a,46583832468520965,果断三连
5,105.21100,滚动弹幕,25,0xffffff,0,e3f9cf9a,46583757161889799,明白了
6,99.04100,滚动弹幕,25,0xffffff,0,e3f9cf9a,46583753933324291,！！！！！！！
7,18.78400,滚动弹幕,25,0xfe0302,0,31a7de62,46582129376100359,理科生随随便便历史选择全对的想问这个历史到底是怎么回事啊
8,221.00200,滚动弹幕,25,0xffffff,0,980e2474,46563911026081799,c
9,154.36400,滚动弹幕,25,0xffffff,0,77b09230,46557664949829635,走吧实战没什么用
10,117.61100,滚动弹幕,25,0xffffff,0,c51dc72,46529690803372037,挺简单的题
11,105.71100,滚动弹幕,25,0xffffff,0,c51dc72,46529684578500611,这也不纠结啊
12,49.79400,滚动弹幕,25,0xffffff,0,9998879,46470614154739719,英语年级第一来凑个热闹
13,63.83900,滚动弹幕,25,0xffffff,0,e9b99e7d,46457175206264835,不是第一凑个热闹
14,118.55800,滚动弹幕,25,0xffffff,0,5ff4c20,46445756422815747,卧槽
15,120.19900,滚动弹幕,25,0xffffff,0,fb26e76c,46437974131343365,学到了！
16,317.71600,滚动弹幕,25,0xffffff,0,774b0107,46431120017326087,谢谢up
17,319.32100,滚动弹幕,25,0xffffff,0,2abc6215,46428433812029447,妙妙！！
18,207.07300,滚动弹幕,25,0xffffff,0,ec26b7a4,46414340976279559,做了两年每次都懵懵地选对了的一道题……
19,209.16400,滚动弹幕,25,0xffffff,0,1cc57530,46400491920293895,c
20,172.84700,滚动弹幕,25,0xffffff,0,1cc57530,46400426480762887,c
21,124.45700,滚动弹幕,25,0xffffff,0,1cc57530,46400380690497539,d
22,65.75600,滚动弹幕,25,0xffffff,0,1cc57530,46400336058384391,a
23,48.75200,滚动弹幕,25,0xffffff,0,cd648a52,46399966552784899,真就降维打击
24,210.89100,滚动弹幕,25,0xffffff,0,8882444c,46380612400971783,c 
25,170.74300,滚动弹幕,25,0xffffff,0,8882444c,46380507521875971,c 
26,268.91400,滚动弹幕,25,0xffffff,0,d147f1b0,46378042674118663,应该从基础设施和食品供给这两项所造成的影响来判断
27,65.13600,滚动弹幕,25,0xffffff,0,d147f1b0,46377822568579077,D
28,117.44500,滚动弹幕,25,0xffffff,0,53c16717,46359297454505991,好牛！？？？ 
29,57.73500,滚动弹幕,25,0xffffff,0,c19f8778,46355678391959557,啊？
30,161.73500,滚动弹幕,25,0xffffff,0,72a9fffa,46350504903573509,这道题直接看题目不就行了嘛
31,241.38000,滚动弹幕,25,0xffffff,0,7910ea3b,46349778950291459,这个总结很到位
32,246.38000,滚动弹幕,25,0xffffff,0,84d2fbed,46311663682453509,刚做过！！！！！
33,57.99800,滚动弹幕,25,0xffffff,0,39d4add4,46303979340038151,姐姐好可爱！好厉害！
34,181.05200,滚动弹幕,25,0xffffff,0,fde13919,46265085409099781,C
35,203.73700,滚动弹幕,25,0xffffff,0,df4cb9c2,46261556227866629,昨天刚做过！
36,320.04700,滚动弹幕,25,0xffffff,0,b4abca40,46247132287991811,那些不纠结的可能这个法比我自己做的题正确率还高
37,126.07800,滚动弹幕,25,0xffffff,0,1ec13206,46246182105645063,好家伙
38,179.68400,滚动弹幕,25,0xffffff,0,389f4f87,46222934174334979,wowwww
39,31.29900,滚动弹幕,25,0xffffff,0,8095d6b0,46221417406005255,历史对三道，气笑了
40,180.86900,滚动弹幕,25,0xffffff,0,41b184c3,46217600879296519,是所有的都这样写嘛？
41,237.17900,滚动弹幕,25,0xffffff,0,f29c5bff,46209963939332101,这些也不用纠结呀 
42,235.41900,滚动弹幕,25,0xffffff,0,f29c5bff,46209954244722691,这些也不用纠2
43,153.43200,滚动弹幕,25,0xffffff,0,3bddaf40,46201758052515845,D
44,211.06600,滚动弹幕,25,0xffffff,0,75542070,46201556093632515,c
45,147.05800,滚动弹幕,25,0xffffff,0,75542070,46201497806438407,d
46,176.35200,滚动弹幕,25,0xffffff,0,9319021f,46194332884533253,悟了
47,54.71800,滚动弹幕,25,0xffffff,0,41a76568,46128646930300935,年级倒数第一来凑个热闹
48,236.14700,滚动弹幕,25,0xffffff,0,aea1e459,46118781367877635,c
49,131.95600,滚动弹幕,25,0xffffff,0,59a8cd7e,46116973864550407,A
50,73.44200,滚动弹幕,25,0xffffff,0,5d245326,46111025360535557,？
51,21.10500,滚动弹幕,25,0xa0ea,0,16df673f,46106543344582663,巧了，我也历史年纪第一
52,317.10000,滚动弹幕,25,0xffffff,0,86b1c79c,46104261384208387,谢谢姐姐
53,3.21900,滚动弹幕,25,0xffffff,0,86b1c79c,46104053817540615,学霸
54,182.63700,滚动弹幕,25,0xffffff,0,7b6fa73c,46082284564512775,c……？
55,55.31900,滚动弹幕,25,0xffffff,0,9c6db8f4,46081648101425155,历史年级第一来了
56,62.71900,顶端弹幕,25,0xa0ea,0,947289e9,46072623499575303,人均985？好牛
57,164.50300,滚动弹幕,25,0xffffff,0,4ff8cac1,46055328993247235,关键是这道题它也不纠结啊
58,172.76800,滚动弹幕,25,0xffffff,0,e1e2d00b,45998026215391239,这是魔法！！！！
59,118.03600,滚动弹幕,25,0xffffff,0,bcd77013,45997120695042055,我悟了
60,121.07500,滚动弹幕,25,0xffffff,0,d83a5b9,45993337259819013,卧槽
61,7.15900,滚动弹幕,25,0xffffff,0,83887782,45990295466672131,英语年级第一来凑热闹
62,169.01900,滚动弹幕,25,0xfef102,0,3057ae6,45988811120312323,C
63,120.65900,滚动弹幕,25,0xfef102,0,3057ae6,45988759197450243,D
64,178.16500,滚动弹幕,25,0x2e72,0,2d60faab,45986089278636039,绝绝子
65,113.83900,滚动弹幕,25,0xffffff,0,6144e32e,45984294518652935,牛
66,27.41900,滚动弹幕,25,0xffffff,0,beb1dc01,45977076612726789,我也是用语文方法做历史哈哈哈哈哈
67,65.31100,滚动弹幕,25,0xffffff,0,2d556ed1,45965096279605253,物理第一来凑个热闹
68,303.81600,滚动弹幕,25,0xffffff,0,543465d6,45931888386244615,dswwl
69,251.86500,滚动弹幕,25,0xffffff,0,93d58ed8,45930197406973957,c？
70,171.37500,滚动弹幕,25,0xffffff,0,93d58ed8,45930107126677511,c？
71,36.30500,顶端弹幕,25,0xfef102,0,cd79ec83,45928118300442629,这个用词 就很语文老师
72,210.34000,滚动弹幕,25,0xffffff,0,707a0088,45905778970198019,这道题做过！
73,124.56400,滚动弹幕,25,0xffffff,0,b4351b3a,45901652514832387,但是这些题都不太纠结啊呜呜呜
74,34.41200,滚动弹幕,25,0xffffff,0,d92af1de,45856080094298119,？？？？
75,120.22500,滚动弹幕,25,0xffffff,0,2f11e4cc,45829988325785603,好家伙，遇到过
76,318.51000,滚动弹幕,25,0xffffff,0,f2cbb75f,45814051018637317,谢谢up
77,75.80200,滚动弹幕,25,0xffffff,0,39d74205,45811614367612935,可以可以
78,42.33000,滚动弹幕,25,0xffffff,0,39d74205,45811594226565127,啊太棒了这个方法，茅塞顿开鸭
79,132.01000,顶端弹幕,25,0xff7204,0,c5385fa8,45799036595732483,A
80,51.34600,顶端弹幕,25,0xff7204,0,c5385fa8,45798987068342275,政治年级第一来凑个热闹
81,50.37800,顶端弹幕,25,0xff7204,0,c5385fa8,45798980369514503,地理年级第一来凑个热闹
82,94.24200,滚动弹幕,25,0xffffff,0,5442cd93,45797940985331715,A吧
83,166.26200,滚动弹幕,25,0xffffff,0,b8097d76,45794294727966723,诶 我对了
84,118.74200,滚动弹幕,25,0xffffff,0,b8097d76,45794267188166661,牛啊
85,49.63900,顶端弹幕,25,0xa0ea,0,63cf6083,45794016368263175,英语年级第一来凑个热闹
86,6.82100,滚动弹幕,25,0xffffff,0,25b99d9f,45787648388759559,真的！有用！
87,269.60800,滚动弹幕,25,0xffffff,0,afd8a6d3,45787400389525511,牛
88,167.96600,滚动弹幕,25,0xffffff,0,1988b778,45765149347282951,新高考题量大，内容不再重抠字眼了
89,56.40000,滚动弹幕,25,0xffffff,0,1988b778,45765090856665091,新高考了，早变了
90,18.61900,滚动弹幕,25,0xffffff,0,8dea9d37,45762092971589635,哈哈
91,72.38000,滚动弹幕,25,0xffffff,0,e486fdc,45760871344373765,有网课内味了
92,322.22300,滚动弹幕,25,0xffffff,0,3f7e9252,45757985296220167,非历史生狂喜
93,215.50800,滚动弹幕,25,0xf0ab2a,0,da4b1ffd,45751235475144707,A吧
94,171.04800,滚动弹幕,25,0xf0ab2a,0,da4b1ffd,45751165298147333,哇，可以呀。历史感觉有救了。
95,135.73900,滚动弹幕,25,0xffffff,0,1a910955,45750828471418885,我觉得选A
96,312.31800,滚动弹幕,25,0xffffff,0,71f7d82,45749440977829891,谢谢up
97,187.89000,顶端弹幕,25,0xe70012,0,d847f396,45736014382628869,真的觉得自己牛逼的可以出去别挑刺
98,246.00900,滚动弹幕,25,0xffffff,0,4d6a8f,45722291683196935,。
99,274.82900,滚动弹幕,25,0xffffff,0,ed74f70a,45718778220118021,前面那个说选c的人呢？
100,206.06200,滚动弹幕,25,0xffffff,0,ed74f70a,45718737969479683,CCCCCCC
101,198.61700,滚动弹幕,25,0xffffff,0,ed74f70a,45718701551386629,说两级格局没形成的再去看看史实吧行吗
102,168.75600,滚动弹幕,25,0xffffff,0,ed74f70a,45718674026790915,CCCCCCCCC
103,126.43500,滚动弹幕,25,0xffffff,0,ed74f70a,45718617682083847,D
104,67.04200,滚动弹幕,25,0xffffff,0,ed74f70a,45718546880135171,说选a的想啥呢？绝对是d啊
105,49.96700,滚动弹幕,25,0xffffff,0,931420d9,45717212617506823,历史全县第一来凑个热闹
106,206.88800,滚动弹幕,25,0xffffff,0,e892d4e8,45716556511444997,C
107,111.41200,顶端弹幕,25,0xfe0302,0,e67904c7,45711373445890053,可以用数学里的集合去理解
108,234.13400,滚动弹幕,25,0xffffff,0,97697372,45701037648510981,C
109,284.25700,滚动弹幕,25,0xffffff,0,e3c4c518,45679371642994695,说语感的笑死我了你高考也靠语感去赌？再说也不是每个人语感都好，有些人天生不行难道不学了？
110,52.59900,滚动弹幕,25,0xffffff,0,f56f2a3,45673928692596743,？？？？？为什么我听不懂？
111,50.99900,滚动弹幕,25,0xffffff,0,4da239f7,45669669378457605,？？？？？？？？？？？？？？？？
112,118.55600,滚动弹幕,25,0xffffff,0,eb97e490,45664124999303171,妙啊
113,207.69300,顶端弹幕,25,0xfe0302,0,feab6f58,45630632666595331,山东人突然精神
114,58.79300,滚动弹幕,25,0xffffff,0,74b5e8d0,45626755887661063,物化地来凑个热闹
115,59.61200,滚动弹幕,25,0xffffff,0,536666cf,45621024605601795,政治年纪第一来补补惨不忍睹的历史
116,177.72700,滚动弹幕,25,0xffffff,0,81b77908,45619979899371523,b
117,244.01200,滚动弹幕,25,0xffffff,0,4c705e10,45618619681865735,不错子不错子
118,118.97900,滚动弹幕,25,0xffffff,0,6fdb1393,45617352326774791,妙啊
119,16.26500,滚动弹幕,25,0xffffff,0,4336b3d,45589724629827587,今天考历史来拜拜匪哥
120,262.65700,滚动弹幕,25,0xffffff,0,b6baaf11,45588557358694407,姐姐我爱你！！！！！！！！！
121,19.07800,滚动弹幕,25,0xffffff,0,e8cb0208,45584612675551237,我求你做个人
122,321.79800,滚动弹幕,25,0xffffff,0,bd218538,45583620411752455,谢谢谢谢谢谢！！！！
123,312.15300,滚动弹幕,25,0xffffff,0,bd218538,45583610040287237,我悟了！！！！！
124,164.54800,滚动弹幕,25,0xffffff,0,dcef17ff,45579356439838723,如果是文言文呢   哈哈哈
125,285.25400,滚动弹幕,25,0xffffff,0,91d08140,45577701176639495,我懂了
126,122.11700,滚动弹幕,25,0xffffff,0,91d08140,45577615493300227,ohhhhhh
127,49.52800,滚动弹幕,25,0xffffff,0,3e949a8d,45558953555263495,？？？？？
128,58.36100,滚动弹幕,25,0xffffff,0,1b4d407b,45548002399485957,化学年一来溜达一圈
129,17.71800,滚动弹幕,25,0xffffff,0,206b1949,45543038855938119,老凡尔赛了
130,317.85900,滚动弹幕,25,0xffffff,0,2ae2ba89,45542697667657733,我这就去当历史老师
