,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,231.16200,滚动弹幕,25,0xffffff,0,58bd130a,46399147228528643,50万格局小了
2,249.00000,滚动弹幕,25,0xffffff,0,645ea326,46216941705101315,腾讯呢
3,210.36100,滚动弹幕,25,0xffffff,0,645ea326,46216920977899523,腾讯
4,227.31100,滚动弹幕,25,0xffffff,0,a53457a7,46021872226664453,蜥蜴
5,68.32900,顶端弹幕,25,0xfef102,0,30a2aa2,45812927978536963,冠希锅～
6,220.43000,滚动弹幕,25,0xffffff,0,365684a,45748340031750147,国内游戏公司 米哈游 腾讯有一个3a么
7,237.35900,滚动弹幕,25,0xffffff,0,94d5076c,45717445425496069,正道的光
8,194.53900,滚动弹幕,25,0xffffff,0,94d5076c,45717420776095751,肖战行为
9,15.13900,滚动弹幕,25,0xffffff,0,9e6a512f,45307785788260355,这个不是假的真人秀吗？
10,81.16000,滚动弹幕,25,0xffffff,0,7437d69e,45269546885447685,我是秦始皇
11,29.65700,滚动弹幕,25,0xffffff,0,fc73fa1a,45197835485839365,并没有 现在越来越垄断了 特别是房地产业
12,24.55100,滚动弹幕,25,0xffffff,0,a31c31a5,44948808454373383,假的
13,207.02300,滚动弹幕,25,0xffffff,0,d6fbd932,44715447298818051,养肥在杀
14,128.93900,滚动弹幕,25,0xffffff,0,d9e47c64,44714987490902019,人笨但他又不是坏人。为什么要说他活该被骗？
15,117.53900,滚动弹幕,25,0xffffff,0,d9e47c64,44714971571421191,蠢人为什么就活该被骗呀，阿婆主你有良心吗？
16,112.45900,滚动弹幕,25,0xffffff,0,b4392a54,44711170674262019,所以不要充会员
17,52.24000,滚动弹幕,25,0xffffff,0,4e71876c,44710433051901957,啥意思
18,107.16500,滚动弹幕,25,0xffffff,0,eefb1457,44708804551507971,没错！不同人的价格还不同！
19,7.98300,滚动弹幕,25,0xffffff,0,eefb1457,44708740917100549,腾讯
20,191.97900,滚动弹幕,25,0xffffff,0,242abb45,44708070796820483,腾讯过来挨打
21,125.72700,滚动弹幕,25,0xffffff,0,242abb45,44708027973500933,我。。这。。
22,58.15900,滚动弹幕,25,0xffffff,0,242abb45,44707991382392837,小丑竟是我自己
23,49.85500,滚动弹幕,25,0xffffff,0,242abb45,44707979168055299,nb啊
24,94.70300,滚动弹幕,25,0xffffff,0,619cb4dd,44707789866008581,好想也是
25,71.99100,滚动弹幕,25,0xffffff,0,97081a3f,44707179976982533,300块就能回香港，开玩笑
26,178.01900,滚动弹幕,25,0xe70012,0,9ac85ddf,44706952916238341,韵达真不行
27,90.10100,滚动弹幕,25,0xffffff,0,7388454,44705850414596101,你在说什么呢
28,88.10900,滚动弹幕,25,0xffffff,0,1f766e3d,44704943107997701,真会有人信
29,241.47200,滚动弹幕,25,0xffffff,0,f5b46e16,44704483108716547,50万好多的
30,188.01900,顶端弹幕,25,0xe70012,0,d90ef97b,44703601261543429,谁都能想到，就智库想不到，你猜为啥？
31,172.08300,滚动弹幕,25,0xffffff,0,601c1b76,44702838424600583,所以国外银行和电信运营商什么时候能进来？
32,133.88600,滚动弹幕,25,0xffffff,0,cbc2cd35,44701070008516611,这个是真的我两台手机同时点结果配送费和包装费贵了两元
33,225.38800,滚动弹幕,25,0xffffff,0,63c805af,44700115319914499,苏联就是这么解体的
34,60.68800,滚动弹幕,25,0xffffff,0,ec48ddae,44700097449033731,《憨憨》
35,217.81500,滚动弹幕,25,0xffffff,0,44617be7,44699189694169091,小米做各种电器家具
36,5.28700,滚动弹幕,25,0xffffff,0,83302f77,44699177712091139,拼多多就没有菜篮子了？
37,203.55400,滚动弹幕,25,0xffffff,0,83302f77,44699151176302595,拼多多都上市了，你敢信么？
38,120.19900,滚动弹幕,25,0xffffff,0,409a967e,44694045224075267,貌似一个都没有用过呢→_→
39,242.01400,滚动弹幕,25,0xffffff,0,8384f356,44688757455585285,你试试，国家出手，五十万就是敲打，让他们收敛一点。不然没好果子吃。
40,238.60400,滚动弹幕,25,0xffffff,0,93e12f4f,44687950228750339,希望这些公司解体
41,235.63500,滚动弹幕,25,0xffffff,0,c71c74e2,44686633139699717,漂亮
42,145.94200,滚动弹幕,25,0xffffff,0,1817fa05,44684770971484163,我不吃外卖的
43,201.82800,滚动弹幕,25,0xffffff,0,680ed9d7,44683258880851973,先让他们吃点肉，养肥了，宰了吃
44,224.44700,滚动弹幕,25,0xffffff,0,53855455,44682982702186503,泪目
45,214.81400,滚动弹幕,25,0xffffff,0,ccab5d57,44682946435612743,可以卖给他们啊
46,108.18000,顶端弹幕,25,0xe70012,0,d8545754,44681957801984005,拼多多产品原价30元，打折50元
47,205.93900,滚动弹幕,25,0xffffff,0,b13d53ac,44681785181208583,王者荣耀真实案例
48,69.70700,滚动弹幕,25,0xffffff,0,b13d53ac,44681710594424839,楚门的世界
49,67.18100,滚动弹幕,25,0xffffff,0,289474f5,44680678519341061,哈哈哈哈哈哈哈哈哈哈
50,122.42900,滚动弹幕,25,0xffffff,0,a0753104,44680541106077703,所以我有好几个号
51,6.71900,滚动弹幕,25,0xffffff,0,bde10c4,44679534688600067,良性竞争促进产业发展
52,240.53500,滚动弹幕,25,0xffffff,0,de4d6273,44678654567383047,千万分之一
53,235.68600,滚动弹幕,25,0xffffff,0,de4d6273,44678647787290627,50W
54,204.77400,滚动弹幕,25,0xffffff,0,de4d6273,44678631593082887,腾讯
55,190.30800,滚动弹幕,25,0xffffff,0,de4d6273,44678624038617093,？
56,101.66400,顶端弹幕,25,0xa0ea,0,c6344ebe,44676737587478533,所以这个故事告诉我们不要充会员
57,220.77500,滚动弹幕,25,0x90c320,0,78f63b6a,44674838591700997,设计游戏
58,134.73400,滚动弹幕,25,0xffffff,0,b9e80747,44674756238114819,躲得过我不玩
59,41.15000,滚动弹幕,25,0xffffff,0,9254fd87,44674433160839173,哈哈哈哈哈
60,44.89500,滚动弹幕,25,0xffffff,0,56f24782,44673215876300805,太过分了吧
61,243.02500,滚动弹幕,25,0xe70012,0,4fc31590,44672966417448965,是罚的太轻
62,196.30500,滚动弹幕,25,0xe70012,0,4fc31590,44672942005026819,先养猪
63,130.12000,滚动弹幕,25,0xffffff,0,d70de3c2,44670822742753283,京东会员领不到优惠券
64,221.11600,滚动弹幕,25,0xffffff,0,e8616a79,44669799671267335,尤其是游戏的发展
65,16.74300,滚动弹幕,25,0xffffff,0,823ae3d0,44669691131068419,确定反了吗？
66,233.21900,滚动弹幕,25,0xe70012,0,3ad7f243,44668328442593283,上千亿的公司怕50万吗
67,93.46000,顶端弹幕,25,0xfef102,0,3816f569,44666901313355781,我同学这么和我玩被我当傻子
68,65.29700,滚动弹幕,25,0xffffff,0,e0b83e0c,44666509601538051,我是渣渣辉
69,72.65200,滚动弹幕,25,0xffffff,0,70413f2d,44666460515074053,gangstar
70,225.05900,滚动弹幕,25,0xffffff,0,ca991631,44664981322989573,美团优选，橙心优选
71,187.02100,滚动弹幕,25,0xffffff,0,291ff5c2,44662843141259269,让它们变得更强，好把平民欺负得更惨？
72,7.15100,滚动弹幕,25,0xffffff,0,a0ef3994,44662394107985925,屁
73,54.79800,滚动弹幕,25,0xffffff,0,7aadbd44,44662177835515907,???
74,69.54400,滚动弹幕,25,0xffffff,0,5ab3a326,44659079529365511,离谱
75,176.21900,滚动弹幕,25,0xffffff,0,c5011af3,44658863499640835,阿里和腾讯都不小了，到该宰的年龄了。支持公私合营
76,128.23900,滚动弹幕,25,0xffffff,0,75a2abc7,44658466467348483,别说跑题跑题的了！把视频看完再说不行吗？
77,114.84400,滚动弹幕,25,0xffffff,0,4b8f8c1,44656279640080391,游戏平台
78,229.69900,顶端弹幕,25,0xffffff,0,463c4311,44654279942209539,家里的地都被包了
79,36.22600,滚动弹幕,25,0xffffff,0,2ada395d,44654001011556357,老百姓活不了，有钱人都别想活
80,114.67400,滚动弹幕,25,0xffffff,0,e00a841a,44652431057354759,我秦始皇不要钱
81,119.42800,滚动弹幕,25,0xffffff,0,1615d3c5,44649512541093895,一一点名
82,134.10500,滚动弹幕,25,0xffffff,0,bdbcaf7c,44646104575770629,好家伙
83,152.37900,滚动弹幕,25,0xffffff,0,c57cacc2,44644094153064455,手势好单一……
84,102.60300,滚动弹幕,25,0xffffff,0,bddd531e,44637127392100359,所以我一直白嫖
85,217.30300,滚动弹幕,25,0xffffff,0,3cdf7af9,44636867677126659,漫画，游戏，网文了解一下
86,17.40500,滚动弹幕,25,0xffffff,0,33b69cac,44634895891300359,呵呵
87,70.82000,滚动弹幕,25,0xffffff,0,d7be6dd5,44634507202527239,哈哈哈哈哈哈哈哈哈哈
88,41.13900,滚动弹幕,25,0xffffff,0,507d192b,44633504580370503,楚门的世界？
89,248.36200,滚动弹幕,25,0xffffff,0,5a59944f,44633231683747845,好耶
90,80.11500,滚动弹幕,25,0xffffff,0,c3e3159f,44597296244457479,有被冒犯到
91,93.18400,滚动弹幕,25,0xffffff,0,5087bd21,44595210952900613,人家是群发的
92,24.31600,滚动弹幕,25,0xffffff,0,5087bd21,44595174794330115,看看韩国三星不就知道了
93,230.13400,滚动弹幕,25,0xffffff,0,c8085f1e,44595029761064967,燃起来了
94,110.30600,滚动弹幕,25,0xffffff,0,9a34bdfd,44589631006572549,我在北京遇到过
95,63.12000,顶端弹幕,25,0xe70012,0,f955cc16,44589451323113479,全世界的无产者，联合起来！！！
96,215.59900,滚动弹幕,25,0xffffff,0,66f040c8,44574529647280135,庄家通吃
97,218.37900,滚动弹幕,25,0xffffff,0,e7243bcf,44571942735839235,在卖菜
98,98.76500,滚动弹幕,25,0xffffff,0,26730292,44570412385828871,13亿的选择题
99,33.00900,滚动弹幕,25,0xffffff,0,2cd55489,44569626592411651,你这故意的站位，扭来扭去我是看的真尴尬
100,123.16700,顶端弹幕,25,0xe70012,0,ad7d1bc8,44568917418442755,明日之后
101,191.04100,滚动弹幕,25,0xffffff,0,69421fcf,44562683102494725,哇哦
102,132.95000,滚动弹幕,25,0xffffff,0,f4370fd6,44557432206131207,不买立减100%
103,177.81800,滚动弹幕,25,0xffffff,0,96612de8,44551099822637061,看不懂的都在说标题哈啊哈哈哈哈
104,153.11900,滚动弹幕,25,0xffffff,0,eb1ec55d,44548806419152903,赚的钱连包装费都付不起
105,153.11900,滚动弹幕,25,0xffffff,0,eb1ec55d,44548795789213703,我家店就是，在饿了吗上面亏死了
106,244.86400,滚动弹幕,25,0xffffff,0,4a044621,44547906068807685,拆了他们
107,232.82900,滚动弹幕,25,0xffffff,0,49394f48,44547898993016835,阅文罚的少了！
108,217.76700,滚动弹幕,25,0xffffff,0,49394f48,44547885821853703,无线充电
109,198.38000,滚动弹幕,25,0xffffff,0,e7ca98f3,44546174295736387,@企鹅
110,232.94000,滚动弹幕,25,0xffffff,0,79ca3c52,44543692066258949,阅文是真的离谱！！！
