,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,125.35000,滚动弹幕,25,0xffffff,0,9a17db13,45893902964621317,在雷诺的霍肯伯格
2,40.12900,滚动弹幕,25,0xffffff,0,f2f24e2d,45886164655669253,仓颉能复活吗
3,16.01900,滚动弹幕,25,0xffffff,0,eeaff947,45865414600163331,答案就是去某图网下载
4,373.20400,滚动弹幕,25,0xffffff,0,9e0c3180,45821126477086727,这是广告？
5,93.52200,滚动弹幕,25,0xffffff,0,32de9e5d,45804309481259015,很多都没有
6,116.32400,滚动弹幕,25,0xffffff,0,7a08f53f,45803822542487557,AD block
7,152.85300,滚动弹幕,25,0xffffff,0,56bbb127,45726226993643527,F1官方字体也不错的
8,28.61500,滚动弹幕,25,0xffffff,0,56bbb127,45711583543296003,挺喜欢腾讯的字体的
9,244.19200,滚动弹幕,25,0xffffff,0,437bf31c,45705469148790789,omygosh！
10,4.01900,滚动弹幕,25,0xffffff,0,9bc68979,45636647509819397,角角：这个我熟
11,12.85900,滚动弹幕,25,0xffffff,0,e5a1de28,45629787944255493,颜真卿，柳公权的字体应该不犯法
12,6.92500,滚动弹幕,25,0xffffff,0,ce954bbc,45625332481392647,没人像我一样现在还用的是系统字体吗？
13,253.50200,滚动弹幕,25,0xffffff,3,a4810cc4,45621139221250053,1
14,32.46800,滚动弹幕,25,0xffffff,0,da013e1,45618060365660167,思源黑体用了好久了
15,51.81800,滚动弹幕,25,0xffffff,0,585b8109,45613707377508357,用手写
16,60.09000,滚动弹幕,25,0xffffff,0,e3c56f1f,45603246568374279,有课代表吗？视频太长了
17,285.84000,滚动弹幕,25,0xffffff,0,7762c75f,45591737647235075,思源宋体yyds
18,29.73600,滚动弹幕,25,0xffffff,0,f3911638,45589110141747205,思源加一
19,337.17900,滚动弹幕,25,0xffffff,0,1800ef89,45585837622034439,OPPOsans
20,9.33300,滚动弹幕,25,0xffffff,0,d468cf7f,45581318006243331,5900
21,5.51900,滚动弹幕,25,0xffffff,0,e0132ebf,45566130922717191,不屑于用这么难看
22,258.51200,滚动弹幕,25,0xffffff,3,c299d97f,45565834698424325,1
23,267.79000,滚动弹幕,25,0xffffff,0,e283cba0,45565156246683651,确实是旁门左道 用别人视频都不备注下
24,52.79900,滚动弹幕,25,0xffffff,0,76ae6d4e,45560217384517635,吃灰去吧
25,32.66400,滚动弹幕,25,0xffffff,0,5dc5c753,45557920982630407,苹方体
26,27.94100,滚动弹幕,25,0xe70012,0,5237f54,45543408280797187,草体
27,5.09400,滚动弹幕,25,0xffffff,0,4dfc68a2,45535905213579267,独角兽:你干脆自己报我名
28,24.86500,滚动弹幕,25,0xffffff,0,8c49b246,45535857242275847,GB2312
29,38.14300,滚动弹幕,25,0xffffff,0,15d55d72,45521405570187271,思源系列啊
30,34.14100,滚动弹幕,25,0xffffff,0,c23509b7,45513327298740227,天啊你是妹子
31,46.55100,滚动弹幕,25,0xffffff,0,9fa8f1b9,45512363982454787,自己设计字体自己用
32,35.67600,滚动弹幕,25,0xffffff,0,350146bd,45503808820740099,没想到
33,12.50000,滚动弹幕,25,0xffffff,0,eedc3efc,45501540654907397,自己都侵权
34,24.27300,滚动弹幕,25,0xffffff,0,8a6a359f,45498784812630021,微软用中国字不要缴税？
