,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,8.98000,滚动弹幕,25,0xffffff,0,db3c977f,46517114516799491,我喝呀
2,44.58400,滚动弹幕,25,0xffffff,0,fd1c8180,46062518779510791,啊？
3,16.24000,滚动弹幕,25,0xffffff,0,891cc353,46022343935918085,不喝，滚
4,62.99300,滚动弹幕,25,0xffffff,0,9ff4f458,46020171686477829,？？？？
5,25.05700,滚动弹幕,25,0xffffff,0,110ad772,46016211804225543,先打120，然后慢慢喝
6,45.87700,滚动弹幕,25,0xffffff,0,3f445eff,46015319499603973,哪个领导给你敬酒啊
7,53.27900,滚动弹幕,25,0xffffff,0,228aef5e,46014915631120387,那你就桌子上跳舞吧
8,61.67200,滚动弹幕,25,0xffffff,0,d24157b,46012199172833287,怎么也飞不出，花花的世界
9,79.36000,滚动弹幕,25,0xffffff,0,6ca94910,45995708741320711,第二天就穿上小鞋了
10,76.70300,滚动弹幕,25,0xffffff,0,73d0d514,45994344358871047,明天不用来了
11,61.24400,滚动弹幕,25,0xffffff,0,a1161a2b,45991573964455941,公务员考这个干嘛
12,1.40700,滚动弹幕,25,0xffffff,0,63d749d0,45990331979661317,公务员考这个？
13,5.45400,滚动弹幕,25,0xffffff,0,9ee43ba,45987471751643141,不喝酒烤你么的公务员
14,62.06000,滚动弹幕,25,0xffffff,0,5e751002,45982318780219399,这是个机器人？
15,17.09200,滚动弹幕,25,0xffffff,0,d459f139,45981904518250503,喝啊
16,70.12800,滚动弹幕,25,0xffffff,0,fbeff5e7,45973596449275907,明天可以不用来了
17,20.22000,顶端弹幕,25,0xe70012,0,5ee576a0,45970296171659269,应该站起来说：那哪能，我敬您一杯，感谢您的照顾
18,33.70600,滚动弹幕,25,0xffffff,0,14da3e6e,45967980472303619,不喝就不喝吧，你话这么多？你给领导讲道理？
19,14.12000,滚动弹幕,25,0xffffff,0,ce248969,45958404597874693,哪个领导有那么耐心听你叭叭完
20,35.40200,滚动弹幕,25,0xffffff,0,399914cf,45957629672947715,刚吃了头孢
21,81.28400,滚动弹幕,25,0xffffff,0,eea7c38e,45954574087880709,面试考这些………我到底面试了些啥
22,38.11300,滚动弹幕,25,0xffffff,0,14af7aa9,45952034492383235,你以为你是谁
23,61.23600,滚动弹幕,25,0xffffff,0,1a6903c8,45950049048330243,说实话，答得算不错了，面试其实主要还是看你语言组织能力，哪有那么多机智的回答啊
24,11.82700,滚动弹幕,25,0xffffff,0,52747d79,45945767949500421,高考满分，职场零分
25,17.25500,滚动弹幕,25,0xffffff,0,da53d725,45941281321910279,这不掀桌子？？？？？？？
26,58.07600,滚动弹幕,25,0xffffff,0,da53d725,45941258768613379,这不掀桌子？
27,25.20700,滚动弹幕,25,0xffffff,0,494fb2bc,45941080944803843,你干了我随意
28,35.30100,滚动弹幕,25,0xffffff,0,79020b6a,45938113134460931,跟我最近的情况一模一样
29,46.58000,滚动弹幕,25,0xe70012,0,feedd0e6,45935803154563077,迎新晚会是什么
30,50.60000,滚动弹幕,25,0xffffff,0,fcc8a3d4,45930127387262981,公务员出这题，这种单位不用去
31,1.46400,滚动弹幕,25,0xffffff,0,612286b1,45930061344276483,一句我吃了头孢就能解决的事
32,35.22000,滚动弹幕,25,0xffffff,0,9928825c,45922413521141767,我敬你酒，你就是马上死也要给我喝
33,68.48400,滚动弹幕,25,0xffffff,0,81647e2e,45910498366455815,哈哈哈哈哈哈哈哈哈哈
34,59.37900,滚动弹幕,25,0xffffff,0,8151f3e1,45904932353605637,？
35,44.10600,滚动弹幕,25,0xffffff,0,8b812815,45903770698645509,这种棒读语气感觉好欠啊
36,75.59400,滚动弹幕,25,0xffffff,0,ab3b1805,45901730503720967,唱歌好尬
37,4.38100,滚动弹幕,25,0xffffff,0,e3ea28e,45901407087230981,这更像普通公司面试
38,14.61200,滚动弹幕,25,0xffffff,0,a99d3be8,45901004871827459,屁话一堆，酒场会听
39,6.72400,滚动弹幕,25,0xffffff,0,18b1a215,45897483066802181,而且题目最后都要汇报上级党委永久存档的，哪个地方的面试敢出这种题目，是嫌纪委没事忙了是吧
40,58.54000,滚动弹幕,25,0xffffff,0,7ff59e07,45895786363355143,真扯
41,63.32000,滚动弹幕,25,0xffffff,0,6fe07f4f,45888344839159813,？？？？
42,69.24100,滚动弹幕,25,0xffffff,0,37f468da,45883097204391939,唱个敬酒不吃吧
43,10.32300,滚动弹幕,25,0xffffff,0,cdaa0cac,45882365983064071,你们不喝酒，面前没有饮料的吗?
44,0.00000,滚动弹幕,25,0xffffff,0,cdaa0cac,45882147710959619,不喝，下一题
45,57.08200,滚动弹幕,25,0xffffff,0,e9f81fd1,45862532751556613,纸上谈兵
46,10.24600,滚动弹幕,25,0xffffff,0,633c8097,45859147024957445,来 我提一杯
47,66.96700,滚动弹幕,25,0xffffff,0,6d0caad0,45858381047529479,噗 真逗呢
48,78.41000,滚动弹幕,25,0xffffff,0,7471512a,45857255140622339,准备找个下家吧
49,66.44200,滚动弹幕,25,0xffffff,0,9ce6f71,45855028694482951,？？？？
50,14.72000,滚动弹幕,25,0xffffff,0,9d37f5f8,45852114257707013,今天就是我人生第一杯
51,43.34900,滚动弹幕,25,0xffffff,0,8b97a28d,45851791778119687,下一个
52,16.83000,滚动弹幕,25,0xffffff,0,6e77335b,45848686430257157,香克斯！
53,69.30200,滚动弹幕,25,0xffffff,0,be4d6768,45848147274498053,说这么多，下次没人敬酒了
54,42.30200,滚动弹幕,25,0xffffff,0,be4d6768,45848133152276485,拿出头孢一口吃下去
55,63.90700,滚动弹幕,25,0xffffff,0,b7803cfc,45848113548623877,送命题
56,13.57000,滚动弹幕,25,0xffffff,0,6dcb4cac,45841685417033731,吊你妈
57,42.87500,滚动弹幕,25,0xffffff,0,655471d6,45836370923487237,领导听你bb么
58,0.99800,滚动弹幕,25,0xffffff,0,db3cf5b0,45834679587176453,我给你敬酒，你来给我上课呢？
59,74.57600,滚动弹幕,25,0xffffff,0,31c946ec,45831515362295811,56
60,18.25000,滚动弹幕,25,0xffffff,0,4410c213,45816728493490179,你在教我做事啊？
61,16.67700,滚动弹幕,25,0xffffff,0,f783cb94,45815929313427459,这个好可爱耶
62,48.78900,滚动弹幕,25,0xffffff,0,f9bd978d,45815824920346629,老子不喝 滚
63,48.08000,滚动弹幕,25,0xffffff,0,a22ad26d,45813459576160261,你跟谁俩呢？要是没酒品的领导喝到位了的，杯子直接给你摔了，别问，我见过，还陪他喝过
64,29.06000,滚动弹幕,25,0xffffff,0,75fcaca4,45812507683061767,公务员一天天的就考这些？
65,21.03100,顶端弹幕,25,0xe70012,0,ce70a17d,45811278901411845,微笑？
66,20.75700,滚动弹幕,25,0xffffff,0,437cb3a,45811242863951875,错误示范
67,13.48400,滚动弹幕,25,0xffffff,0,437cb3a,45811239072825351,这是个错误的答题方式
68,68.60900,滚动弹幕,25,0xffffff,0,437cb3a,45811224830541827,哈哈哈
69,50.38600,滚动弹幕,25,0xffffff,0,437cb3a,45811215236595717,我她妈年终的时候，喝吐了
70,37.27100,滚动弹幕,25,0xffffff,0,437cb3a,45811208389918727,瞎搞
71,65.07500,滚动弹幕,25,0xffffff,0,70ce65d1,45804515838918659,还唱歌
72,19.60300,滚动弹幕,25,0xffffff,0,acedab58,45802760667398147,我爸是你领导，你随意
73,31.95800,滚动弹幕,25,0xffffff,0,32849a68,45800083609354247,真特么卑微
74,4.92400,滚动弹幕,25,0xffffff,0,508214c7,45770421491990531,傻狗
75,69.98200,滚动弹幕,25,0xffffff,0,ac6d530a,45767306530783239,你在教领导做事？
76,48.48000,滚动弹幕,25,0xffffff,0,fd18ced0,45764140927025155,领导，今天大家都很开心，你们尽情喝，我留下开车
77,23.99400,滚动弹幕,25,0xffffff,0,cf23f0c3,45762561907359749,第一，谁给办的迎新晚会，钱哪里来的？第二，公务员什么时候可以在公共剧场饮酒
78,31.74000,滚动弹幕,25,0xffffff,0,ea851254,45759605187805189,你骗人，张口就来酒精过敏啊
79,38.86000,滚动弹幕,25,0xffffff,0,3813a8ca,45756360929837059,那以后有酒局怎么办
80,58.62100,滚动弹幕,25,0xffffff,0,552ab7af,45716238215151619,哈哈哈
81,25.06000,滚动弹幕,25,0xffffff,0,466616f1,45712753422761989,好了你可以走了，不能喝酒要你做啥
82,3.54200,滚动弹幕,25,0xffffff,0,99add395,45696602172555269,不喝滚
83,27.62200,滚动弹幕,25,0xffffff,0,9753fc57,45696016431185923,6
84,72.29900,滚动弹幕,25,0xffffff,0,10ff3d7e,45694773375795207,等着挨抽吧
85,65.16800,滚动弹幕,25,0xffffff,0,dd9705bf,45678572765970437,把自己杀了给大家助兴
86,46.74000,滚动弹幕,25,0xffffff,0,2be08e9c,45668515813261317,不会喝酒，明天不用来了
87,13.56000,滚动弹幕,25,0xffffff,0,2be08e9c,45668485926223877,领导敬你酒！？
88,60.80000,滚动弹幕,25,0xffffff,0,3ebaf551,45665473940422661,？？？？你有病吧
89,29.38000,滚动弹幕,25,0xffffff,0,76051e52,45664265473359875,给领导一颗头孢
90,32.83100,滚动弹幕,25,0xffffff,0,1d97422d,45651427045933059,后面难混了
91,14.51700,滚动弹幕,25,0xffffff,0,48166cbf,45631142853345285,当然是掀桌子了
