,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,6.30300,滚动弹幕,25,0xffffff,0,402aec48,46422660726915077,排凝就好了啊
2,1.55900,滚动弹幕,25,0xffffff,0,402aec48,46422630496993285,这不是液击麽？？
3,1.98500,滚动弹幕,25,0xffffff,0,1e5e79e9,46353414329729027,锤子，是有空气，排气阀开开
4,11.75000,滚动弹幕,25,0xffffff,0,1b3aaf95,46289906295111683,锤个毛线
5,13.16500,滚动弹幕,25,0xffffff,0,e480243f,46114005294514183,水锤用泄压阀
6,2.20300,滚动弹幕,25,0xffffff,0,816b60a5,46036546992734213,消止加在泵的出水口
7,7.39200,滚动弹幕,25,0xffffff,0,298c9b0d,45834352425172997,会出水
8,6.72800,滚动弹幕,25,0xffffff,0,5f6bf638,45611220434681861,睁眼说瞎话
9,1.00300,滚动弹幕,25,0xffffff,0,d4bea892,45545378540945411,我记得水锤效应不应该加个消止器吗？
10,10.42400,滚动弹幕,25,0xffffff,0,38dc72c8,45484128176963589,固定牢？消声止回阀了解一下
11,11.77300,滚动弹幕,25,0xffffff,0,9b9786ad,45451039741575171,别乱说，这叫支撑不足
