,弹幕
1,乌 鸦 坐 飞 机
2,是一个孤独的整体（doge）
3,阳光就阳光，干嘛变黄
4,如果他们不谈恋爱，我就是个彻头彻尾的单身狗了
5,当 场 失 恋
6,《情侣竟在我体内！？？》
7,《猴子竟是我自己》
8,记得所有细胞黑历史的男人
9,？？？？？？？？？？？
10,感谢
11,央视的红细胞怕不是运输氧气是浅绿色，运输二氧化碳变成墨绿色
12,Take care your self and be well
13,哈哈哈
14,细胞黑历史
15,感谢我自己
16,我这就回去重刷！！
17,WTF!
18,细节
19,红  白  喜  事
20,因为是1146的孩子（bushi）
21,有个天线（指受体）
22,缘，妙不可言
23,中二细胞可还行
24,给自己来俩拳奖励一下
25,真的很好奇，谢谢你出这个视频！
26,？？？？？？？
27,看工作细胞有助于治疗心理压力过大（真的）
28,不信的割自己的大动脉看看
29,那是记忆B细胞，记忆T细胞在第4集有
30,是提供黑历史哈哈哈哈哈哈哈
31,俗称黑历史细胞
32,俗称黑历史细胞
33,666
34,我感觉兔八咯帅了呢
35,血书求nk细胞
36,阳光二次元（指black）
37,好家伙，太细节了
38,树突细胞=腹黑温柔病娇
39,血液是红色的吗
40,动脉血和静脉血的颜色差别
41,巴巴托斯的你串戏了
42,中！
43,神仙啊
44,我们就是一堆细胞
45,我决定早睡一分钟，鼓励一下她们
46,卧槽卧槽
47,BLACK里面有！
48,卧槽，细节
49,中二细胞哈哈哈
50,请不要在我身体里面谈恋爱
51,组织胺，四声
52,歇斯底里细胞
53,必修三！！
54,太细节了
55,训练有素
56,打破幻想
57,阿伟灭绝计划实施者
58,男变女。
59,梦想破碎
60,失恋现场
61,文科生逐渐走神……
62,呜呜呜没有讲Natural Killer Cell 哭哭
63,哈哈哈哈哈哈哈吐槽到位
64,工作细胞国配版
65,糊弄？？？
66,++++++++
67,++++
68,我已经听不懂了，只想看他们谈恋爱
69,感谢
70,卧槽
71,有点感动了
72,被字幕挡住的是什么啊哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
73,被字幕挡住的是什啊阿啊阿啊阿啊阿啊阿啊阿
74,被字幕挡住的是什么呀
75,细节乞讨
76,啊这
77,白细胞嘞？
78,细节
79,肯定要给你点了
80,我靠我靠，细思极恐
81,sephirah们核心抑制后露出原型的样子（bushi）
82,泪目
83,卧槽
84,我靠
85,家长：我管你那么多，先举报(doge)
86,师傅别念了
87,蹦蹦炸弹（
88,效应b细胞和浆细胞是一个东西
89,！
90,癌细胞：？？？
