,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,78.45200,滚动弹幕,25,0xffffff,0,fd954ea0,46693433508626435,我就这么看
2,118.97300,滚动弹幕,25,0xffffff,0,4e867335,46679910099976197,笑死我了，啊这好紧张。虽然我也紧张
3,79.76200,滚动弹幕,25,0xffffff,0,4e867335,46679877348229127,不可以写的吗
4,184.97900,滚动弹幕,25,0xffffff,0,5046bbd7,46677326474772487,还没我答的好
5,74.65500,滚动弹幕,25,0xffffff,0,5b63e634,46675982762377219,卡
6,79.87900,滚动弹幕,25,0xffffff,0,b8ca2131,46675016746008643,我坐着看
7,316.01000,滚动弹幕,25,0xffffff,0,569dadfd,46674458651394051,这题完全偏了
8,112.71400,滚动弹幕,25,0xffffff,0,8733b855,46660880057237509,哈哈哈哈
9,77.72500,滚动弹幕,25,0xffffff,0,8733b855,46660861767450629,蓄力
10,89.03100,滚动弹幕,25,0xffffff,0,c9675daa,46659844290117639,忘记题目
11,71.65700,滚动弹幕,25,0xffffff,0,22ed1c1a,46657783000989701,浙江今年就是无纸笔
12,101.45700,滚动弹幕,25,0xffffff,0,15aacd13,46648767054610437,逻辑
13,80.91600,滚动弹幕,25,0xffffff,0,6a374af3,46648743578042373,医学生来了，不救治
14,112.94200,滚动弹幕,25,0xffffff,0,e3bf0f7f,46647570764136451,就这？
15,85.94100,滚动弹幕,25,0xffffff,0,e3bf0f7f,46647556672323587,我就这么坐着看
16,97.62000,滚动弹幕,25,0xffffff,0,6e4de68d,46644501216231429,我拿手机看
17,502.29900,滚动弹幕,25,0xffffff,0,7e5cc9b0,46630278197149699,逻辑乱了吧
18,380.03900,滚动弹幕,25,0xffffff,0,7e5cc9b0,46630210876473351,乡里乡村
19,306.11900,滚动弹幕,25,0xffffff,0,7e5cc9b0,46630166442016775,好磕巴
20,127.74700,滚动弹幕,25,0xffffff,0,7e5cc9b0,46630066505908229,她慌张了她慌张了
21,113.44000,滚动弹幕,25,0xffffff,0,7e5cc9b0,46630059129700355,她慌张了
22,263.60400,滚动弹幕,25,0xffffff,0,8ffc982b,46627511901618243,妹子只有10分钟，你这么慢的啊
23,177.60200,滚动弹幕,25,0xffffff,0,8ffc982b,46627466745741319,这样可以87.2？？？
24,443.58200,滚动弹幕,25,0xffffff,0,e90377d6,46624779873550341,过 下一题
25,162.78200,滚动弹幕,25,0xffffff,0,934e4358,46624076157419525,这80多分？
26,22.69900,滚动弹幕,25,0xffffff,0,2742c43c,46622105441665031,还没笔试的我竟然在看面试
27,67.67100,滚动弹幕,25,0xffffff,0,d011f804,46620413498753027,延迟这么严重
28,64.63900,滚动弹幕,25,0xffffff,0,cc4a56b3,46620300139298821,非静止画面
29,83.94300,滚动弹幕,25,0xffffff,0,ffb4d786,46617004170281031,我在旁边看
30,189.36500,滚动弹幕,25,0xffffff,0,b4ac99ac,46616578091909123,讲慢点就容易忘了后面的词
31,103.97000,滚动弹幕,25,0xffffff,0,fdb97884,46612410788741127,好紧张？
32,88.08400,滚动弹幕,25,0xffffff,0,fdb97884,46612402459901955,哈哈哈
33,70.39300,滚动弹幕,25,0xffffff,0,75d769a2,46612096829358085,站着看
34,83.00700,滚动弹幕,25,0xffffff,0,3ae088bb,46607768443420679,元芳你怎么看
35,142.65400,滚动弹幕,25,0xffffff,0,ba49db5c,46607129695485959,这一看就是模拟啊。。。87是人家真实面试的成绩，这个只是机构内部的模拟测试。。
36,115.78400,滚动弹幕,25,0xffffff,0,de3033aa,46604402627706883,很一般
37,228.24400,滚动弹幕,25,0xffffff,0,37b7c7bf,46600480125091843,湘琴日记
38,183.87900,滚动弹幕,25,0xffffff,0,c96dee7a,46589599405309955,做法予以肯定  是否具备一定能力商榷   
39,183.87900,滚动弹幕,25,0xffffff,0,c96dee7a,46589579180376067,做法予以肯定
40,141.43900,滚动弹幕,25,0xffffff,0,c96dee7a,46589551350644741,讲的好烂
41,250.56100,滚动弹幕,25,0xffffff,0,8e41710e,46587612440297479,不给题卡不给纸笔 我直接去世
42,537.10700,滚动弹幕,25,0xffffff,0,feeb907e,46585880189075463,人口普查工作不是一蹴而就的，做好充足的前期宣传以及准备工作，同时与物业居委会得到沟通提前告知大多数人，并且如果有可能练习该小区比较有声望的热心老人来配合协助调查工作，
43,124.09600,滚动弹幕,25,0xffffff,0,4bde54cc,46585682575491075,标题不错，内容拉垮
44,25.73200,滚动弹幕,25,0xffffff,0,4995527f,46585591775625221,你们要学的为人民服务的精神，而不是伪装
45,190.15600,滚动弹幕,25,0xffffff,0,b295d5b6,46584998230229059,"紧张了,语言组织乱了"
46,158.50700,滚动弹幕,25,0xffffff,0,b295d5b6,46584981631795203,确实紧张了
47,245.86500,滚动弹幕,25,0xffffff,0,667fc398,46583029138194435,面试最重要的不是内容好吧，至少仪态上来说这女的可惜
48,85.90500,滚动弹幕,25,0xffffff,0,42b31e5d,46582569069182983,问问元芳
49,73.99600,滚动弹幕,25,0xffffff,0,ad24f800,46576951417634821,坐着看啊
50,285.72800,滚动弹幕,25,0xffffff,0,e5cc6b56,46569949745381383,第三题一般我等她念完自己想了会刚刚她说了啥
51,195.93900,滚动弹幕,25,0xffffff,0,e5cc6b56,46569903747497987,我靠，是我了上面面试我也是嗯啊嗯啊
52,254.74900,滚动弹幕,25,0xffffff,0,77bf71cc,46568310585688067,内心在想：我该怎么编
53,236.25000,滚动弹幕,25,0xffffff,0,77bf71cc,46568301082968067,请考官再来一次
54,224.75000,滚动弹幕,25,0xffffff,0,77bf71cc,46568295042646023,哈哈哈
55,208.25100,滚动弹幕,25,0xffffff,0,77bf71cc,46568286284939271,她知道自己在说神马吗
56,181.25100,滚动弹幕,25,0xffffff,0,77bf71cc,46568272227729415,地铁老人
57,157.25200,滚动弹幕,25,0xffffff,0,77bf71cc,46568259669983239,弹幕太好笑了
58,98.25300,滚动弹幕,25,0xffffff,0,77bf71cc,46568228633706501,我父亲是区长，大家可以散了
59,70.75400,滚动弹幕,25,0xffffff,0,77bf71cc,46568214320119811,面前不是有题目本？？？？
60,396.94000,滚动弹幕,25,0xffffff,0,f8591f80,46563708643573763,都5了还重点？
61,355.12000,滚动弹幕,25,0xffffff,0,f8591f80,46563673815121925,语无伦次
62,310.52700,滚动弹幕,25,0xffffff,0,77a52c02,46559029157691395,人家问你日记重点记录什么
63,294.39900,滚动弹幕,25,0xffffff,0,77a52c02,46559009090568199,日记审批啥
64,73.44800,滚动弹幕,25,0xffffff,0,c6f3befb,46558995885850629,我看不到
65,38.12000,滚动弹幕,25,0xffffff,0,77a52c02,46558833934336007,还搁那结构化 都什么年代了
66,128.63600,滚动弹幕,25,0xffffff,0,279fa718,46558820987568131,这讲的还没我好，拜拜
67,178.36600,滚动弹幕,25,0xffffff,0,40c7a166,46557994408214535,咱们上比他还紧张
68,87.00600,滚动弹幕,25,0xffffff,0,9656e184,46554055401013251,我选择路过
69,30.47300,滚动弹幕,25,0xffffff,0,abb634ef,46541463622254597,听完我也不会啊
70,495.44100,滚动弹幕,25,0xfef102,0,9c0cfaa2,46539629376045063,骗子也有啊
71,470.40100,滚动弹幕,25,0xfef102,0,9c0cfaa2,46539612654403587,地铁，老人，手机
72,323.31900,滚动弹幕,25,0xe70012,0,9c0cfaa2,46539548267118661,地铁，老人，手机
73,170.95900,滚动弹幕,25,0xe70012,0,9c0cfaa2,46539459500441607,地铁，老人，手机
74,85.68400,滚动弹幕,25,0xffffff,0,ffbee73d,46537114637041667,砸瓦鲁多！
75,100.67100,滚动弹幕,25,0xffffff,0,28b20f63,46536575489671173,紧张
76,143.42300,滚动弹幕,25,0xffffff,0,ca5d7bb5,46536137750085637,一分钟了还是啥论点都没有
77,110.56900,滚动弹幕,25,0xffffff,0,5a59f4b3,46535642159513603,这？？？
78,146.69800,滚动弹幕,25,0xffffff,0,ef101e03,46534022662717447,真的一般般 语速快了点 不流畅 太紧张了
79,330.13800,顶端弹幕,25,0xe70012,0,3754806e,46529172758069251,确实答非所问啊
