,弹幕
1,这人谁？服了
2,胡数八道
3,那还不得闯红灯
4,！
5,说的什么
6,这个是真的专家！佩服
7,那一夜
8,？
9,见血是传说
10,啊这听不懂
11,瞎扯淡
12,扯吧
13,就是什么？
14,什么意思?
15,nsnmn
16,弹幕知道这位是谁吗
17,？？？？
18,为什么
19,说了个啥到底
20,处女？
21,我坚决抵制婚前
22,为什么会见血？是来例假吗？
23,怎么老重复，没听懂
24,？
25,梅开二度
26,fb
27,复读机模式？？？？？？？？？？？？
28,系列套娃？？？
29,说了啥
30,语无伦次
31,您在说啥呢
32,说啥呢
33,说的啥啊
34,说的啥？
35,一分半钟什么重点都没有。我是真的服了。除了不要轻易和男人睡觉之外，有什么重点吗
36,狩猎
37,ھ啊？
38,我懂了
39,？？？？？
40,也没见血呀
41,？？？？？
42,海王警告，都说渣男，那是没见过渣女，一晚上换三个男友见过没？
43,确实不明白
44,巴拉巴拉绕得头晕
45,？？？
46,血？？？？
47,无原因 无解释 就给个结论
48,说了半天 说啥呢
49,？？？
50,……
51,我竟然不知觉的中了幻术！
52,好家伙，说话前后一点逻辑性都没有。还搁这说呢
53,这个老师是我们大学的
54,这话不严谨，这种本能对女人同样适用，莫非女人是神仙？
55,建议看原视频
56,？
57,哪有那么多血？？？
58,？
59,？？？？
60,是不是卡带了
61,这人是犯罪心理学家很牛的
62,这个乱讲，扯犊子
63,这个老太太，无语了
64,梅开二度
65,究竟说啥呢
66,梅开二度
67,她再扯淡她也是教授，比你键盘强
68,?
69,见血兴奋是打比方，不是真的见血。。。。。
70,败者食尘
71,可能见过那么户型，这个户型他钟意。
72,？？？？？？？？？
73,所以录完这个能拿多少钱【dog】
74,性关系还能见血
75,忘吃防痴呆药了？
76,卫生巾: 我可兴奋了
77,胡说八道
78,？
79,弹钢琴？
80,表达什么意思？
81,？无限月读
82,。？？？
83,说啥呢
84,？
85,？？？？
86,哪有血？
87,这老太太是得了阿尔兹海默症吗
88,到底在说什么？
89,日！学学语文吧！李玫瑾老师是举个例子，就像动物见血兴奋！！
90,不太明白。什么意思？
91,气抖冷
92,后面也没血啊
93,看着血恶心
94,啥也没听懂
95,说啥的，啥也没听懂
96,海王
97,李老师，一直蹭不上她的课
98,语无伦次没有文化
99,说啥呢
100,听不明白
101,复读机
102,到底想说啥
103,无限循环？？
104,放nM皮
105,复读机
106,啥也没说啊
107,胡说八道
108,你tm说什么呢
109,？？？？？
110,就没见过血
111,梅开二度
112,好家伙，套娃呢
113,此见血非彼见血
114,车轱辘话？
