,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,126.42700,滚动弹幕,25,0xffffff,0,c3462892,45932791859249159,原力摩托
2,56.05100,滚动弹幕,25,0xffffff,0,e20297bb,45930181427724295,看不懂，弄个墙不就得了？
3,26.49900,滚动弹幕,25,0xffffff,0,c4260bd0,45912365427851269,这不就通过了么，狗头
4,115.93200,滚动弹幕,25,0xffffff,0,a816155f,45902113604108295,请让我滑板车一试
5,4.37900,滚动弹幕,25,0xffffff,0,cf5b4ade,45897081337413639,这不是机油泵吗
6,53.63200,顶端弹幕,25,0xe70012,0,31be6539,45891347841286149,super面筋车
7,134.12500,滚动弹幕,25,0xffffff,0,fc83fdc5,45883861049540611,在此，宣判
8,100.42600,滚动弹幕,25,0xffffff,0,dffb1fa5,45883041782431749,这个车一看就是来送人头的
9,56.67500,滚动弹幕,25,0xffffff,0,6a0f167,45839590435586053,火烧连营
10,6.81200,滚动弹幕,25,0xffffff,0,c49d4695,45838751954370563,这是齿轮泵
11,17.99500,滚动弹幕,25,0xffffff,0,cae6c7b2,45836679175471111,三大件都给你扬咯
12,21.93500,顶端弹幕,25,0xe70012,0,dcf149dd,45807956596883463,这不过去了吗？
13,67.40800,滚动弹幕,25,0xffffff,0,87eedf6f,45765265833590791,好家伙，科尼塞克
14,16.83400,滚动弹幕,25,0xffffff,0,e377502a,45760606955372551,希望人没事
15,40.03200,滚动弹幕,25,0xffffff,0,462437a,45757891576070149,人死了啊
16,64.17900,滚动弹幕,25,0xffffff,0,6ce34719,45756009179250695,车足够大也能过去，过个卡车卡住一会后面的赶紧过去
17,22.11900,滚动弹幕,25,0xffffff,0,6ce34719,45755970915663879,过去了
18,26.53700,滚动弹幕,25,0xe70012,0,12fe2bdc,45752372106362885,这不是过去了吗
19,71.97900,滚动弹幕,25,0xffffff,0,b6bf2086,45749024891863045,这是准备飞过去？？
20,22.61900,滚动弹幕,25,0xffffff,0,b6bf2086,45748993470234627,过去了
21,27.49600,滚动弹幕,25,0xffffff,0,985d67d1,45747067594211335,这不是过来了么
22,129.13600,滚动弹幕,25,0xffffff,0,546d1641,45742934472523779,cafe racer
23,52.04600,滚动弹幕,25,0xffffff,0,1ebf1cfb,45723305660907523,三连没了
24,1.62900,底端弹幕,25,0xe70012,0,14d4d1be,45718510625095685,罗茨风机啊！
25,35.90000,滚动弹幕,25,0xffffff,0,2f431995,45713280688193543,这不过去了吗？
26,65.26900,滚动弹幕,25,0xffffff,0,956b5d4,45705516835405827,倒着转会怎么样呀
27,61.81900,滚动弹幕,25,0xffffff,0,49d90d7c,45704880284762119,这是个齿轮泵，只能单向
28,54.05400,滚动弹幕,25,0xffffff,0,61ae2cd4,45704416789004293,三连会死
29,32.75700,滚动弹幕,25,0xffffff,0,d7b0ab6a,45701417099329541,只能跃迁了
30,119.13200,滚动弹幕,25,0xffffff,0,4c09147d,45665128878178307,这不就是家用绞肉机嘛
31,104.94700,顶端弹幕,25,0xe70012,0,fd3fc370,45651636525727749,翩若惊鸿，婉若游龙
32,19.01900,滚动弹幕,25,0xffffff,0,2289967a,45627551941918727,不省人事
33,46.97900,滚动弹幕,25,0xffffff,0,a27a3c6c,45625601170604037,动车组。。。
34,59.68000,滚动弹幕,25,0xffffff,0,49c64a40,45623879950925827,过去了
35,40.90500,滚动弹幕,25,0xffffff,0,240457fe,45620646913245191,这能过去？？？
36,28.66100,滚动弹幕,25,0xffffff,0,b47894f5,45613736270495751,你就说我过没过去吧
37,3.33900,滚动弹幕,25,0xffffff,0,34455b4d,45613730187182085,游戏名:beamng
38,22.02000,滚动弹幕,25,0xffffff,0,a5458c88,45611975772733447,你把旁边的护栏撞了从草地过去不行吗
39,37.82400,滚动弹幕,25,0xffffff,0,138737aa,45611730365054981,这绞肉机啊
40,64.07900,滚动弹幕,25,0xffffff,0,f2cdd68,45609201161994245,暗示三连会死。
41,14.64500,滚动弹幕,25,0xffffff,0,b26a8529,45608562686164999,旋风冲锋
42,70.43400,滚动弹幕,25,0xffffff,0,94b6d97b,45596024554651655,凡尔登绞肉机
43,3.65500,顶端弹幕,25,0xffffff,0,880b12b,45589608970321927,鲁氏增压既视感
44,119.19200,滚动弹幕,25,0xffffff,0,b21bedaa,45587722775560197,看来双层巴士扭扭就过去了
45,88.49900,滚动弹幕,25,0xffffff,0,dbb8cad,45584598899359751,如果够高并且速度快是不是顶部的能过去呢
46,36.73400,滚动弹幕,25,0xffffff,0,ff656cec,45584417485750275,什么是铡草机，什么是脱粒机？
47,15.06000,滚动弹幕,25,0xffffff,0,e4574076,45576930062761987,车毁人亡
