,弹幕
1,大佬的闺女
2,台湾同志？
3,大佬 你看起来还不够强
4,大佬好
5,致敬
6,大佬们好
7,这是大佬啊
8,膜拜
9,到现在还有多少国内外黑客还在用冰河
10,卧槽冰河
11,大佬主要看发型
12,你这发言
13,大佬们好
14,6666666
15,别瞎说，假发
16,冰河！
17,有多少量啊
18,台湾大佬
19,好
20,头发过分了
21,这小女孩一看就是林勇女儿呀，很像啊
22,一群技术男在一起好逗啊
23,这个是在里面吧？
24,为什么头发都好多啊
25,岌岌可危的发际线
26,大佬好
27,致敬
28,大佬
29,大佬好！
30,牛批
31,@绿盟科技NSFOCUS
32,聚是一团火，散是满天星
33,什么360，腾讯管家之类的安全软件就是他们的技术积淀
34,HUC
35,致敬
36,秃头那个猛的一
37,大佬
38,牛
39,黑个联邦安全局乐呵乐呵？
40,这个上古大神了
41,这是真大佬
42,大佬们好
43,台湾同胞大佬
44,头发好多
45,生日快乐。。。祖国网络的战士，致敬
46,网络爱国团体
47,冰河？。？
48,我要插个眼，我是王
49,为什么发量都这么多
50,直男无疑
51,危
52,哈哈哈哈哈哈哈哈哈哈哈哈这才是真实录制啊
53,过年好
54,哈哈哈
55,哈哈哈
56,鸿蒙
57,红客牛逼！
58,hellen………难得还能听着这个词
59,注意细节头有头发（可能是头套）
60,犀利
61,共享哈哈哈的确
62,都是大佬
63,优秀
64,大佬
65,大佬
66,哈哈哈哈哈
67,全员恶人
68,？
69,怎么和在监狱录制一样
70,全员神人
71,有一个小渣渣（大佬）
72,大佬
73,。。。
74,感谢那个年代有你们存在
75,詹俊老师好
76,弹幕呢？？？？
77,被迫营业
78,哈哈哈哈哈哈哈哈哈哈哈哈哈
79,发型不对劲
80,狠人
81,发量
82,发量不对啊
83,大佬好！
84,这是前辈们的女儿被拉出来表演才艺吗哈哈哈哈
85,感觉像在狱中
86,别看了，在这里面全都是大了 拉出一个来，学点儿知识，学点儿东西 就受用一辈子 
87,致敬大佬
88,好家伙
89,撒贝宁？
90,尴尬
91,熊猫？？？
92,大佬
93,从掌声中不难听出他们当时多尴尬
94,四川音
95,大佬云集
96,这么年轻
97,大佬NB
98,这女孩儿也是个大佬吧
99,还有学院？怎么加入？
100,致敬
101,哈哈哈哈哈哈好尴尬的感觉
102,这才是我们程序猿大佬该有的模样
103,头发假的吧？
104,大佬！！！！！！！！！！！！！！
105,大佬你好！！！！！！！！！！！！！！！！！！！！
106,他怎么这么多头发
107,这个像是在拜年
108,哈哈哈哈哈哈
109,这个真的强啊
110,真的6
111,这个背景墙
112,致敬
113,背后是大鸡腿广东
114,厉害人物
115,冰河远程
116,冯小刚
117,生日快乐
118,科普下，黑客骇客别弄混了。
119,全员恶人
120,各位大佬，向你们致敬！
121,向大佬们致敬，爱国是做人的基本原则
122,都是大佬啊
123,保密画质（雾）
124,尴尬哦
125,lion是大佬
126,同款外衣哈哈哈哈
127,怎么可以加入
128,哈哈哈
129,出狱了？
130,小妹妹好乖
131,咋就一个秃顶啊
132,大佬
133,你鼓你的   我鼓我的
134,说，你是不是偷偷的去植发了
135,哈哈哈哈哈哈哈哈
136,发量多的可见都混得不错，有钱植发，发量炫富
137,尴尬
138,哈哈哈哈哈哈哈哈哈哈哈哈
139,哈哈哈哈哈哈哈哈
140,秃了，也强了
141,大老
142,要从娃娃抓起
143,玩尬的是吧
144,那么多头发
145,卧槽这个大佬
146,这是大佬，膜拜
147,背后是Taiw？？
148,好人一生生一窝
149,哈哈哈哈哈
150,这人好像现在搞网安大数据侦查
151,经典啊
152,再创？
153,手离开了键盘，鼓掌都显得不专业。
154,红盟  鸿蒙！！！
155,红盟！鸿蒙！
156,哈哈哈哈
157,有头发
158,岳父
159,顶尖高手，
160,厉害了
161,原来真正的大佬都是那么朴素！
162,带娃来的
163,大佬
164,Helloworld to you
165,领导发言
166,广东人吗
167,台湾省人
168,最强大佬
169,哈哈哈哈，好可爱
170,你看着他们视频里一个个腼腆跟啥似的，给网上能顺着网线给你账户黑了
171,这么小都行？
172,擦
173,致敬！
174,感谢大佬们为我们的网络安全贡献自己力量
175,哈哈哈哈
176,这发型不科学啊！
177,尴尬
178,哈哈哈哈
179,哈哈哈哈哈
180,我看过这个大佬的教程
181,隔着屏幕都感受到尴尬了
