,弹幕
1,一只黄色的老兔子？
2,刷子：我们无冤无仇，你为什么要扔掉我（哈哈哈）
3,哈哈哈
4,厨房一尘不染
5,自报贵庚20
6,但是我的房子太脏乱了 他说
7,柳中之风
8,去我收藏区吃灰吧
9,大小朋友们。学习让人开心充实快乐！
10,还是捷克鼹鼠可爱，这个太丑了
11,耶
12,感谢字幕君！
13,wap歌词
14,spotless应该简单的理解为没有spot 那就是干干净净
15,现在是春天。
16,It is spring
17,哎呀我的扑棱盖啊哎呀我的胳膊肘啊
18,老腰闪了
19,柳树上的风
20,春天到啦
21,故事啊
22,可爱吗？
23,适合18岁的小朋友看
24,适合14岁的小朋友观看
25,嗯？！我串了！
26,hhhhhhhhhh
27,up we go
28,……
29,翻译弹幕挡字了
30,为什么要翻译？
31,这不会弄脏他的西装吗
32,哈哈哈哈哈哈哈哈哈
33,bring a bucket and a mop
34,一键三联啦，谢up主
35,衣服都不脏的，好羡慕
36,meadow
37,groaned呻吟
38,groanedshe
39,这不是我吗，干活干到一般就放弃了
40,适合21岁的小朋友看
41,这个谁tm要字幕啊 还挡着英语了
42,爷青回
43,玻璃人
44,柳林风声!!超好看！
45,我高一了…不看英文都听不懂……绝！
46,真实…
47,真实…
48, Give me everything you got
49,适合19岁小朋友看
50,26
51,震惊我居然听不懂儿童节目...
52,这东西管用吗？
53,柳林风声？！
54,哇  柳树林的秘密
55,快进我的收藏夹吃灰！
56,感谢野生字幕君
57,快停下，一只老兔子喊
58,好家伙
59,柳林风声 看过这书
60,得儿低
61,好厉害啊。
62,好厉害啊
63,厉害历史
64,古古惑惑回
65,哈哈哈
66,i need a 抹布
67,儿童节目
68,柳林风声
69,鼹鼠把刷子丢在地上
70,em～bucket-mop
71,他在草地里打滚
72,鼹鼠先生跳了出来
73,他跑上了通向外面的隧道
74,鼹鼠先生扔掉了擦洗用的刷子
75,我的后背酸痛
76,“哦！”他呻吟道
77,第一集 春天来了
78,你必须付六遍士才能跑过这里
79,“停下来！”一只老兔子大叫道
80,他跑过草地
81,“这比打扫有趣多了！”鼹鼠先生说
82,他追赶蝴蝶
83,他在草地里打滚
84,“草闻起来很香”他说
85,哇哦！太阳如此明亮
86,鼹鼠先生的头从洞里探了出来
87,我们上去!我们上去!
88,他跑上通向外面的隧道
89,鼹鼠先生抓住他的蓝色外套
90,“忘了它吧！”他说
91,鼹鼠先生扔掉了擦洗用的刷子
92,我的胳膊也很痛
93,我的后背酸痛
94,闻闻那新鲜的空气
95,“春天来啦!”鼹鼠喊道
96,第一集 春天来了！
97,ladder：梯子  dust：出去灰尘
98,dusty:灰尘多的
99,罐子和平底锅都洗干净了
100,厨房简直无可挑剔！
101,他把椅子挪了挪，以便清理下面
102,是时候打扫了！”
103,我还需要一个拖把
104,“我需要一个桶，
105,风扶杨柳
106,超级经典啊
107,柳林风声
108,厨房是无可挑剔的！
109,他甚至擦干门把手
110,他
111,他站在梯子上清理书架
112,闻闻那清新的空气
113,“这是春天”鼹鼠喊到
114,草地里打滚儿真的超有趣
115,正好最近在看这本书
116,"I have a pen,I have an apple"
117,这这这
118,此路是我开，此树是我栽
119,真实，不过我是打扫着打扫着就坐下来休息了
120,好可爱啊哈哈
121,今年我25
122,怎么没有中文翻译
123,前面那个自爆芳龄的别走，我20＋1
124,可可爱爱
125,等等，上一句台词有点耳熟！
126,tunnel隧道
127,风语河岸柳
128,您超速了
129,可可爱爱
130,柳林风声吗
131,穿西装追蝴蝶哈哈哈哈哈
132,这不弄得满屋子飘灰吗2333
133,救命啊啊好可爱
134,像极了我
135,给我宝宝看不错
136,我
137,哈哈哈哈哈哈
138,willow柳条
139,自曝芳龄 30+1
140,就是 牛津书虫里的 那套 风雨河岸柳 吧
141,太可爱了！
142,是个小朋友看的吗
143,抹布？
144,wap???
145,WAP 
146,uhh bucket-mop
147,美式  我喜欢
148,for some wap
149,弹幕?
150,willow
151,没有
152,tmd哪都能看到什么能量裤，烦不烦
153,I call it wap  wap  wap
154,tunnel洞穴
155,柳林风声
156,柳林风声
157,柳林风声
158,98
159,这画风好像摩尔庄园
160,pen
161,apple
162,是我了哈哈哈
163,哈哈哈哈哈
164,自报芳龄22
165,是小鼹鼠嘛，我的天呐
166,我的妈呀
167,我们都是小朋友，嘿嘿
168,这是不是《柳林风声》？
