,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,0.00000,滚动弹幕,25,0xffffff,0,6c9497d1,45066150746259459,熟練掌握至少一門外語的人只是感受到並痛苦于於無知和偏狹，而那些極端民族主義者對無知和偏狹不自知甚至引以為豪
2,252.87200,滚动弹幕,25,0xffffff,0,77afb585,46599327494176775,这样的坚持一定是有意义的
3,194.06700,滚动弹幕,25,0xffffff,0,77afb585,46599281647812611,语言只是工具，真正的目的可以是很多样的
4,125.12800,滚动弹幕,25,0xffffff,0,77afb585,46599181659275267,我不明白，我只是一只挂科后绝望的俄语生
5,105.04600,滚动弹幕,25,0xffffff,0,8589a92d,46518756995235845,你在看字幕鸟稿子？念稿子差评
6,175.50500,滚动弹幕,25,0xffffff,0,f6dd92e5,46243636120649731,好厉害
7,234.30800,滚动弹幕,25,0xffffff,0,7994c779,46200043797479431,智者
8,231.94200,滚动弹幕,25,0xffffff,0,ec24ebf5,46144759215947779,书读多了就是这样
9,93.14500,滚动弹幕,25,0xffffff,0,efdb42c5,46120338842451975,吾生也有涯 而知也无涯
10,80.01000,滚动弹幕,25,0xffffff,0,7aec02db,46115137814265861,跌落坠入的是虚无 不是因为没有方向 而是特别地有方向-未明子
11,85.71300,滚动弹幕,25,0xffffff,0,bb5e0fe8,46069539148398599,刚买了一本怦然心动
12,209.83300,滚动弹幕,25,0xffffff,0,16a15cf6,46067555706601475,为什么我现在才看到这么优质的视频
13,158.02800,滚动弹幕,25,0xffffff,0,184ef4c2,46059238871007237,是，精神分裂，接纳了不同的文化世界让待在另一个文化世界的自己感到孤独
14,194.55600,滚动弹幕,25,0xffffff,0,4e960a6f,46041278778966021,这个观点过于主观
15,247.83700,滚动弹幕,25,0xffffff,0,1dcf8c50,46029250923331653,说的太好了吧
16,50.88800,滚动弹幕,25,0xffffff,0,24f7b056,46000404192821255,犯罪都市张谦蛋
17,172.18100,滚动弹幕,25,0xffffff,0,2f69dd25,45974287995633671,前面的，全文背诵想法+1
18,45.97900,滚动弹幕,25,0xffffff,0,191bd56d,45973562806763523,说的不错啊
19,189.16100,滚动弹幕,25,0xffffff,0,a83a9beb,45972505709510663,up是uw毕业的嘛
20,6.29200,滚动弹幕,25,0xffffff,0,a83a9beb,45972403804700679,hhh这不是我大学旁边的书店吗
21,103.48600,滚动弹幕,25,0xffffff,0,674edcba,45970560141754371,这是学的有多好啊…都能谈论一门外语的深层美了
22,92.45900,滚动弹幕,25,0xffffff,0,97d10eb2,45964421603262467,背后的地图是曼哈顿下城....
23,86.59900,滚动弹幕,25,0xffffff,0,b960f2a6,45954897642258439,确实
24,12.24000,滚动弹幕,25,0xffffff,0,b536d844,45944375887790083,年轻时的峰哥
25,103.41600,滚动弹幕,25,0xffffff,0,8632b08c,45944188051128325,我觉得这是很美好的一件事啊，我们和外国人的隔阂不像我们曾经认为的那么大
26,184.09800,滚动弹幕,25,0xffffff,0,aad28d46,45942820031168517,要考试，但我现在大学，英语还是零基础
27,263.68400,滚动弹幕,25,0xffffff,0,ec4ed033,45942406512640005,1l
28,169.12600,滚动弹幕,25,0xffffff,0,4490166b,45942394268942341,？？？？？？？？？？？？？？
29,6.45900,滚动弹幕,25,0xffffff,0,78d03f09,45941802783997957,找陈院长啊
30,231.15400,滚动弹幕,25,0xffffff,0,173da161,45937597302702085,THIS IS CRUCIAL!!!RELIABLE SOURCE OF INFORMATION!!
31,219.73300,滚动弹幕,25,0xffffff,0,173da161,45937586166300679,EXACTLY!
32,8.47500,滚动弹幕,25,0xffffff,0,7b2f8878,45932972093210627,峰哥？
33,239.44500,滚动弹幕,25,0xffffff,0,25277cbb,45931977241526277,有又能如何，不过“庸人自扰”罢了。
34,41.67700,滚动弹幕,25,0xffffff,0,6715178c,45929745615945731,好象乐山大佛
35,0.90100,滚动弹幕,25,0xffffff,0,cae66d97,45928647642054661,R语言实战 一眼瞥见 为何我这么敏感 因为我对R语言爱得深沉
36,195.64800,滚动弹幕,25,0xfef102,0,f16987e6,45928319627558917,“理解得越多，就越痛苦。知道得越多，就越撕裂。但是，他有着同痛苦相对称的清澈，与绝望相均衡的坚韧。” ——勒内·夏尔 
37,195.64800,滚动弹幕,25,0xffffff,0,f16987e6,45928111187427331,理性本身就是一种漫长的无眠，认知的升格也常伴随着撕裂的痛苦，然还是不愿停下继续向前求索的脚步。
38,97.88000,滚动弹幕,25,0xffffff,0,883df2ca,45916746962436101,学了四门语言，现在在学第五门的路过
39,245.11000,滚动弹幕,25,0xffffff,0,38769e69,45903560009318403,你学会了外语就拥抱世界没有偏见了吗
40,80.61000,滚动弹幕,25,0xffffff,0,38769e69,45903473617141765,凡尔赛本赛
41,185.83200,滚动弹幕,25,0xffffff,0,9f1aec52,45901951407751175,ADM，yes！
42,123.27700,滚动弹幕,25,0xffffff,0,9f1aec52,45901912054169603,都是韩国的谢谢
43,143.50800,滚动弹幕,25,0xffffff,0,c2cba72,45900790202105861,这就有点扯了，学历史不看外国人写的东西叫什么学历史
44,142.52800,滚动弹幕,25,0xffffff,0,a5e0424b,45900625748164613,"Yes, but history written by whom, for whom?"
45,254.91500,滚动弹幕,25,0xffffff,0,7e72608e,45899818179493891,我只能说牛逼啊哥们
46,127.79900,滚动弹幕,25,0xfef102,0,773897e1,45898532004560901,这为什么会让人感到痛苦？这些巧合应该会让人感到认知的快乐呀。
47,234.66500,顶端弹幕,25,0x2e72,0,4aad3ea7,45898398817058823,在这里骂韩国的人成功地让整个b站知晓了你视野的上限，结合up主视频食用更佳
48,233.38500,滚动弹幕,25,0xffffff,0,4aad3ea7,45898350215561219,觉得空洞是因为你不能理解，谢谢
49,175.78500,滚动弹幕,25,0xffffff,0,4aad3ea7,45898290677415943,不够牢靠笑死，井底之蛙够不够牢靠？
50,17.86100,顶端弹幕,25,0xe70012,0,d6a45a4b,45896902175621125,。
51,0.00000,顶端弹幕,25,0xe70012,0,d6a45a4b,45896844276924423,有公知之嫌，辩证，警惕！
52,85.75000,滚动弹幕,25,0xffffff,0,5e39e60,45896183084744711,韩国人？背后的地图是南韩吧？
53,230.45500,滚动弹幕,25,0xffffff,0,32850e9,45894279825981443,好棒o(≧v≦)o加油
54,207.82600,滚动弹幕,25,0xe70012,0,25611c2d,45888426738188295,不看镜头是要读稿吗？
55,118.50500,滚动弹幕,25,0xffffff,0,922a952b,45884667463204871,这个韩国人？难得一理性韩国朋友
56,114.87800,滚动弹幕,25,0xffffff,0,bf47e8d0,45883777594949637,我们大广西也有血肠
57,30.71600,滚动弹幕,25,0xffffff,0,5c2d8d51,45879360765296643,峰哥老弟儿？
58,116.03700,滚动弹幕,25,0xffffff,0,45b1e158,45868770152415237,牛
59,33.86000,滚动弹幕,25,0xffffff,0,b870f5e7,45864957940072453,很像手工耿的弟弟
60,207.69000,滚动弹幕,25,0xffffff,0,e6905930,45861714510479367,哇这段说的好好
61,52.16400,滚动弹幕,25,0xffffff,0,45e7eacf,45861014688235527,哈哈哈哈哈哈哈
62,264.00000,滚动弹幕,25,0xffffff,0,edfea5a2,45859925939716103,全文背诵
63,44.64000,滚动弹幕,25,0xffffff,0,a81b6360,45859742973165575,好好听呀
64,159.83000,顶端弹幕,25,0xffffff,0,b9b1f6bf,45859192753356807,为什么不能觉得这是自身的文化融合呢？
65,90.47700,滚动弹幕,25,0xffffff,0,25277cbb,45859043835117571,没问题吧
66,79.94000,滚动弹幕,25,0xffffff,0,25277cbb,45858806530310147,啊，used to stand，这波used怎么理解
67,238.05600,滚动弹幕,25,0xffffff,0,796fce19,45856905852092421,棒子的民族自豪感建立之路任重道远啊
68,82.72600,滚动弹幕,25,0xffffff,0,a54c3548,45856323474030597,好凡尔赛啊
69,2.88000,滚动弹幕,25,0xffffff,0,25faf0e6,45854365886971907,帅版峰哥
70,126.87000,滚动弹幕,25,0xffffff,0,c55ad57e,45854342128861189,伟大的卫国战争
71,75.41100,滚动弹幕,25,0xe70012,0,3fbdc28c,45849486519959559,所以马哲会给我信仰与定位，不至于跌落虚无。
72,2.34800,滚动弹幕,25,0xffffff,0,c83de6f1,45848872586051587,这不哈尔滨张谦蛋么
73,229.43600,滚动弹幕,25,0xffffff,0,cecd9891,45847501339623429,牛逼
74,235.20100,滚动弹幕,25,0xffffff,0,b95ddc65,45845477821251589,具有这种思想境界的人，万中无一
75,108.94800,滚动弹幕,25,0xffffff,0,2fbe7520,45842109365747719,因为都是人类啊
76,229.97600,滚动弹幕,25,0xffffff,0,5f5a5352,45841762090483717,太难了。在舒适语言环境都不容易做到。
77,25.32600,滚动弹幕,25,0xffffff,0,b24c88d6,45839401906864135,中国人还
78,12.23500,滚动弹幕,25,0xffffff,0,9f566742,45839046768852995,哈尔滨老大哥张全蛋
79,123.31900,滚动弹幕,25,0xffffff,0,ae263750,45835987621773319,up的意思是 文化的相似不是因为模仿，而是人的共性与相似，大概这样吧
80,75.66400,滚动弹幕,25,0xffffff,0,b2676bf0,45832867649945607,苏格拉底：我最大的知道是知道我什么都不知道
81,229.18100,滚动弹幕,25,0xffffff,0,58e042e7,45832333726056451,我他妈就是英语白痴
82,89.35100,顶端弹幕,25,0xfef102,0,1c4a7778,45826782762369029,上面的小学生？
83,72.70100,滚动弹幕,25,0xffffff,0,f7397d40,45817122603925509,ture
84,185.15000,滚动弹幕,25,0xffffff,0,fdf9313d,45815848748187651,我反智主义大b站怎能容得下你这种理性言论 关注了
85,120.94400,滚动弹幕,25,0xffffff,0,3eb78fe9,45813111274340359,？？
86,175.84900,滚动弹幕,25,0xffffff,0,f83dc0e5,45811955489308675,lalaland
87,240.18800,滚动弹幕,25,0xffffff,0,68aca761,45811218784976903,讲话的节奏好吸引人
88,53.05400,滚动弹幕,25,0xffffff,0,dd3990be,45808493035782147,这口音好听的
89,66.50300,滚动弹幕,25,0xffffff,0,470977a5,45805769727148035,真实
90,231.65700,滚动弹幕,25,0xffffff,0,baa8cd79,45803792450453509,对啊，偏见越多越愚昧，不是这样吗
91,137.39800,滚动弹幕,25,0xffffff,0,b5d08e1c,45803397351211015,开阔眼界
92,7.53300,滚动弹幕,25,0xffffff,0,2773f686,45802829091176451,哈尔滨张全蛋
93,241.59100,滚动弹幕,25,0xffffff,0,fa7317c,45802569604792323,如何才能像你一样说得这么溜，我初中水平
94,17.22400,滚动弹幕,25,0xffffff,0,fe43468a,45799432023703559,这篇我要全文背诵呜呜呜
95,223.89900,滚动弹幕,25,0xffffff,0,a650c23b,45798760502525959,说的真好，喜欢这个观点
96,197.19900,滚动弹幕,25,0xffffff,0,cdfbce3,45794921795813381,喜欢就行
97,181.33600,滚动弹幕,25,0xffffff,0,37681226,45793478172475399,不是所有人都是为了求知欲才学外语的呀。
98,190.26900,滚动弹幕,25,0xffffff,0,46b1de4c,45793187533422597,up长相有点像ABC
99,33.58300,滚动弹幕,25,0xffffff,0,e182cf64,45769867281301507,长得有点像镜井仁。。。
100,142.82200,滚动弹幕,25,0xffffff,0,904c343f,45767882742693893,说凡尔赛的求求你们不要显摆自己的无知了 学到一个新词就乱用
101,258.00200,滚动弹幕,25,0xffffff,0,1d46a06a,45764114162122757,演讲材料了
102,1.66300,滚动弹幕,25,0xffffff,0,b76fbdae,45762143892013063,哇真的我点开视频第一眼就觉得像仁
103,104.82500,滚动弹幕,25,0xffffff,0,9c396c0b,45758943844106247,但厉外拉同永远是基调
104,127.76700,滚动弹幕,25,0xffffff,0,3edd3728,45758462493720581,有钱人
105,10.45400,滚动弹幕,25,0xffffff,0,6d325e92,45754719266144261,说反话吗
106,37.91900,滚动弹幕,25,0xffffff,0,2705a30a,45744825537921027,弹幕护体
107,0.15600,滚动弹幕,25,0xffffff,0,7c0c76d2,45744824480432131,峰哥亡命天涯？？？？？
108,204.74400,顶端弹幕,25,0xa0ea,0,953f748,45743236674748421,但这不是不学外语的理由 不学看不到世界
109,124.05200,滚动弹幕,25,0xffffff,0,56555fd4,45739102113366019,순대应该翻译成米肠，虽然里面也有血，但和血肠是两个东西
110,263.68400,滚动弹幕,25,0xffffff,0,d0a46c80,45726125927694339,想要就努力争取，不想要就安心过活，这两者其实都一样的，没有谁高贵，没有谁底下，都是在舍弃和得到的天平中抉择。
111,157.13700,滚动弹幕,25,0xa0ea,0,94864b,45724101594054663,突然莫名感同身受到有点泪目 
112,77.09400,滚动弹幕,25,0xa0ea,0,94864b,45724048483155973,无知会坠入虚无 但求索又刺激着我
113,30.25200,滚动弹幕,25,0xffffff,0,d6bafe99,45716295415496711,？？？？？？？??？
114,95.43100,滚动弹幕,25,0xffffff,0,fb46a106,45714568502050823,感谢你的认同
115,202.90000,滚动弹幕,25,0xffffff,0,e4bdb846,45714001604640771,确实优秀
116,230.57800,滚动弹幕,25,0xffffff,0,6df5965a,45712559957344259,对知识的追求几乎在本质上就是一种自虐
117,172.79700,滚动弹幕,25,0xffffff,0,7c254c16,45708608426475527,中华文化有着最大包容性
118,238.43200,滚动弹幕,25,0xffffff,0,ddbfe002,45707372185780227,这段视频值得很多极端民族主义的中国人看一看
119,204.96300,滚动弹幕,25,0xffffff,0,ddbfe002,45707335584186371,要勇敢直视这个世界直视自己的文化体系，即使它和你脑海里的固有思维产生矛盾
120,179.04500,滚动弹幕,25,0xffffff,0,ddbfe002,45707224442470405,新闻也是这样，每个国家立场不同真实性和报道的内容都不同，没有绝对真实
121,163.54500,滚动弹幕,25,0xffffff,0,ddbfe002,45707200657620997,站在更高处从多的渠道来理性看待自己的文化，方能知其真实模样
122,155.02500,滚动弹幕,25,0xffffff,0,ddbfe002,45707148937658373,我们从小被灌输的思想不一定是正确的，电视里的新闻也不一定是完全真实
123,146.44500,滚动弹幕,25,0xffffff,0,ddbfe002,45707118230110215,这个说的太好了，不管是历史还是新闻每个国家都有自己的立场
124,81.06500,滚动弹幕,25,0xffffff,0,ddbfe002,45707066014695427,说的太好了，国内一些极端民族自信的人真该看看
125,251.20400,滚动弹幕,25,0xffffff,0,78271b6d,45706921130328067,愛上這個特別的觀點
126,109.58600,滚动弹幕,25,0xffffff,0,d31e38d6,45706489428443141,确实
127,245.20300,滚动弹幕,25,0xffffff,0,b0440388,45705833099558917,天哪，这是字儿吗
128,9.96100,滚动弹幕,25,0xffffff,0,aa35bde8,45703001400672261,看个视频也能碰到校友们绝了
129,231.65700,滚动弹幕,25,0xffffff,0,b79572e5,45702050733883399,总有一天全世界说汉语
130,10.29700,滚动弹幕,25,0xffffff,0,833634db,45701022914969605,刚刚查完四级
131,88.76800,顶端弹幕,25,0xfef102,0,b8550bda,45700062618058757,not all…不应该翻译成“不是所有的”吗
132,260.76200,滚动弹幕,25,0xffffff,0,919f73a7,45699575827660803,lmao
133,157.21900,滚动弹幕,25,0xffffff,0,6745a398,45698345808691203,这句话是真的
134,104.14700,滚动弹幕,25,0xffffff,0,2ec2bcd4,45696768641859589,逊色多了
135,0.85000,滚动弹幕,25,0xe70012,0,587c2c6c,45678141855760389,中国学外语干嘛？
136,29.38500,滚动弹幕,25,0xffffff,0,b3704ca9,45677009520558087,境井仁
137,115.58000,滚动弹幕,25,0xffffff,0,a29ddacd,45676535842603015,不是东北的？？？？
138,2.84100,滚动弹幕,25,0xffffff,0,647f1b05,45673517529169923,侯处长，我也想学外语，多学一门好啊
139,132.39800,滚动弹幕,25,0xffffff,0,b04c1798,45672470362980355,这话说的就有点不公允了
140,96.83000,滚动弹幕,25,0xffffff,0,8c36ec0b,45672040185724935,那不是挺好的嘛
141,109.42700,滚动弹幕,25,0xffffff,0,91d74a0,45670197518401539,对对对!
142,264.00000,滚动弹幕,25,0xffffff,0,4553d4ec,45668527715647491,太牛了
143,163.60200,滚动弹幕,25,0xffffff,0,34742f49,45668396711804931,文化的多元冲击
144,82.06900,滚动弹幕,25,0xffffff,0,3b0859cc,45667005926735877,中文翻译得真好
145,160.33800,滚动弹幕,25,0xffffff,0,3b0859cc,45666881540456451,中英说的真好
146,117.41700,滚动弹幕,25,0xffffff,0,b7522d7a,45666441541713923,嗯？？血肠不是东北的吗
147,13.71500,顶端弹幕,25,0xe70012,0,3ff0aa2d,45663457480015875,峰哥粉丝遍天下哈哈哈
148,177.77400,滚动弹幕,25,0xffffff,0,c2dbd59d,45659928179245061,背后还有《R语言实战》
149,222.91600,滚动弹幕,25,0xffffff,0,6cb934a0,45657859950116867,因为这个视频关注了up
150,21.22000,滚动弹幕,25,0xffffff,0,806623c2,45656920044339207,所以这是标题党咯
151,23.23600,顶端弹幕,25,0xe70012,0,839dab87,45656586645929987,一看见这标题我已经笑了。
152,183.17900,滚动弹幕,25,0xffffff,0,43ead4d0,45652547963715589,我不学外语不也能知道这些吗。。
153,91.70700,滚动弹幕,25,0xffffff,0,7123d1ed,45651233281146885,是的呜呜呜
154,30.75600,滚动弹幕,25,0xffffff,0,7123d1ed,45651200974520325,声音好好听
155,115.61900,滚动弹幕,25,0xffffff,0,f8a01370,45649720691392519,完 血肠要被申遗了
156,150.18600,滚动弹幕,25,0xffffff,0,48b120fd,45646574697578499,太真实了，即使学习英语的时候我都会这种感觉，有些东西，有些情感是中文无法表达出来的
157,228.81900,滚动弹幕,25,0xffffff,0,860f4ccd,45644303722086403,背诵全文。
158,118.53100,滚动弹幕,25,0xffffff,0,e9234db3,45643589315198979,饿了
159,194.36000,滚动弹幕,25,0xffffff,0,d32180c8,45633008180920327,救命 这个发音
160,200.34300,滚动弹幕,25,0xffffff,0,36c8b509,45632218824441859,耶斯
161,14.54600,滚动弹幕,25,0xffffff,0,187975ab,45629606986776583,滚 凡尔赛
162,33.47700,滚动弹幕,25,0xffffff,0,7d76f9df,45629374233313287,峰哥你怎么了
163,230.48900,顶端弹幕,25,0xffffff,0,666c44d,45628663758585925,说得真好
164,141.29900,滚动弹幕,25,0xffffff,0,666c44d,45628598511992837,历史记录是有立场的
165,261.03700,滚动弹幕,25,0xffffff,0,1df18aa,45626377833021445,全文背诵！
166,54.38200,滚动弹幕,25,0xffffff,0,4507483d,45626151552942151,真实
167,28.37800,滚动弹幕,25,0xffffff,0,4507483d,45626137935609863,太强了
168,107.08400,滚动弹幕,25,0xffffff,0,534824db,45626004779565063,比如吹得神乎其神的中医。。。
169,260.65700,滚动弹幕,25,0xffffff,0,6d426bca,45625008133767171,666
170,126.18500,滚动弹幕,25,0xffffff,0,facc0876,45621911520018435,哈哈哈哈弹幕的争辩简直就是证实了视频的观点
171,4.67200,滚动弹幕,25,0xffffff,0,49545e3f,45620815150448647,萝王？
172,144.89900,滚动弹幕,25,0xffffff,0,7dbbfa71,45620585971580935,读历史确实可以知道
173,103.61900,滚动弹幕,25,0xffffff,0,35860366,45619641897189383,各个长久留存的文化都出过天才
174,126.85200,滚动弹幕,25,0xffffff,0,a5cbfa7d,45614455729946627,哈哈哈哈
175,2.21900,滚动弹幕,25,0xffffff,0,244ec2b6,45613211771731975,峰哥
176,47.45200,滚动弹幕,25,0xffffff,0,c4ac84ba,45609686466560003,有些人说学外语没用 我只想说无知
177,28.95200,滚动弹幕,25,0xffffff,0,c4ac84ba,45609676735774723,努力向你学习
178,219.24800,滚动弹幕,25,0xffffff,0,8747167d,45607638921641991,我要全文背诵
179,0.80000,滚动弹幕,25,0xffffff,0,1549779f,45606350025654275,up真的好像境井仁
180,26.81800,滚动弹幕,25,0xffffff,0,b7383c8b,45603992856166405,陈清泉：？？
181,43.08300,滚动弹幕,25,0xffffff,0,a0410530,45595685708365827,厚葬
182,113.17400,滚动弹幕,25,0xffffff,0,d70d7ba4,45594151611269123,但我们很多是最早的。
183,210.57000,滚动弹幕,25,0xffffff,0,b040e101,45588652072894467,感动
184,177.73700,滚动弹幕,25,0xffffff,0,b040e101,45588627447087107,感动
185,172.98200,滚动弹幕,25,0xffffff,0,b040e101,45588623890841605,感动
186,260.38200,滚动弹幕,25,0xffffff,0,6bc7e1e4,45586992174989315,统一学中文
187,106.49800,顶端弹幕,25,0xe70012,0,f8ceaa10,45584798235754565,无语了，只要读书都会有的结论，这也能做视频标题
188,111.39900,滚动弹幕,25,0xffffff,0,305291f6,45583656284061699,韩国：那申遗要抓紧点了
189,15.16200,滚动弹幕,25,0xffffff,0,43b0a230,45583518926897155,这不是哈尔滨战神张全蛋吗
190,128.96000,滚动弹幕,25,0xffffff,0,80f5bd47,45583443416317957,李云龙攻打平安县城就不是
191,15.84900,滚动弹幕,25,0xffffff,0,ccb2da36,45581507267395591,"I want it, I got it"
192,127.36900,滚动弹幕,25,0xffffff,0,6e31d023,45581304694571015,哈哈哈哈哈哈哈
193,253.56800,滚动弹幕,25,0xffffff,0,e94b590c,45579371496865799,所以学语言到底如何毁了你（doge
194,248.12600,滚动弹幕,25,0xffffff,0,afbce2f9,45578742284681283,我想到的办法居然是“统一语言”...
195,263.68400,滚动弹幕,25,0xffffff,0,afbce2f9,45578710227615751,妙啊，我想到的居然是统一世界用语...
196,130.88500,滚动弹幕,25,0xffffff,0,13bf0b29,45578654013456389,猴子有的耳朵特别大，有的有特别大的鼻子
197,264.00000,滚动弹幕,25,0xffffff,0,b306769f,45577675605016581,我这就去背诵
198,48.13700,滚动弹幕,25,0xffffff,0,88d19b65,45576609245167621,没有卵用。学外语和打麻将没有高下之分
199,261.54200,滚动弹幕,25,0xffffff,0,88d19b65,45576581625675783,没有卵用
200,83.49900,滚动弹幕,25,0xffffff,0,43e34d03,45572741992022023,怕什么真理无穷，进一寸有一寸的欢喜！
201,160.64100,滚动弹幕,25,0xffffff,0,86ff136a,45572677946572805,culture shock
202,16.12200,滚动弹幕,25,0xffffff,0,293d2b02,45572084006912069,哈尔滨的张谦蛋
203,241.74800,滚动弹幕,25,0xffffff,0,965ba913,45571335288520711,awwwwww图片好暖
204,50.98900,滚动弹幕,25,0xffffff,0,a6fab0b7,45566688760954887,哭了
205,3.15500,滚动弹幕,25,0xffffff,0,a6fab0b7,45566663665385475,哭了
206,175.16200,滚动弹幕,25,0xffffff,0,818fc509,45561533285531653,看哭的太多愁善感
207,7.71900,滚动弹幕,25,0xffffff,0,dd964609,45560001803583493,张谦蛋?
208,176.05000,滚动弹幕,25,0xffffff,0,64fc65,45558760332591107,背后好多英文书
209,220.86100,滚动弹幕,25,0xffffff,0,53e93165,45558165020868613,说的太好了
