,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,43.43100,滚动弹幕,25,0xffffff,0,f961a726,44823164693774341,《就 第 一 名 了》
2,129.16000,滚动弹幕,25,0xffffff,0,a29d264a,46430830843133959,大四毕业看着奖状毫无感情，没有自豪没有满足就像另一个人得到的
3,160.65000,底端弹幕,25,0xe70012,0,7d438a62,46287663402057735,唉就是这种感觉，为了优秀而优秀最后都不知道自己想要什么了
4,83.64700,滚动弹幕,25,0xe70012,0,7d438a62,46287622852050947,能力强的人做自己不喜欢的事情真的很折磨
5,58.14600,滚动弹幕,25,0xffffff,0,7d438a62,46287609698713607,背景不就是五道口金融学院么
6,336.56200,滚动弹幕,25,0xfef102,0,c27ebffd,46247128089493507,清醒的人最荒唐
7,347.62600,滚动弹幕,25,0xffffff,0,b77aa584,46238962519900167,有谁知道这首歌叫什么呀？我找不到
8,72.62000,滚动弹幕,25,0xffffff,0,7c312b76,46212577414348803,假的吧，有人会承认自己是top2？
9,250.73500,滚动弹幕,25,0xffffff,0,f75993ac,46067864772804615,泪目了
10,10.25900,滚动弹幕,25,0xffffff,0,56a99198,46028140133220355,没有优秀到一样的程度，但是可以体会到相似的迷惘，感觉有梦想真好，真的很羡慕追梦的人。
11,353.75900,滚动弹幕,25,0xffffff,0,f5027df0,46026598907379717,加油 一起找寻人生的意义
12,56.68200,滚动弹幕,25,0xffffff,0,cf1dd396,46017517128777733,凡尔赛本赛
13,339.31800,滚动弹幕,25,0xe70012,0,2fa270cd,45994712235507717,bgm是 Teen Daze的good night
14,304.93900,滚动弹幕,25,0xffffff,0,acc35d80,45991394422030341,我记得有个体育生选拔 我想去 但我妈不让 后来就去北大了
15,218.38700,滚动弹幕,25,0xffffff,0,744a0969,45989738700079107,我从来没有做过自己的选择
16,312.57800,滚动弹幕,25,0xffffff,0,8ac5201c,45989357631307781,死亡就是最后的终点，你要的是一个梦想，一份为之前进的动力
17,127.59700,滚动弹幕,25,0xffffff,0,61448648,45989354964254727,同感
18,308.57500,滚动弹幕,25,0xffffff,0,b94244bd,45988533388705799,跟随自己内心吧
19,49.98000,滚动弹幕,25,0xffffff,0,b5dd29b7,45987395255402499,你好孤独，但我还是羡慕
20,8.33900,滚动弹幕,25,0xffffff,0,13d96dcc,45986941484138503,？？？？？？？
21,347.67300,滚动弹幕,25,0xffffff,0,912eb503,45984681991602183,去放飞一下自我
22,340.13300,滚动弹幕,25,0xffffff,0,912eb503,45984678039519239,加油加油加油
23,334.41100,滚动弹幕,25,0xffffff,0,912eb503,45984675012804613,加油！
24,156.49900,滚动弹幕,25,0xffffff,0,30135572,45982657059225603,声音挺好听
25,127.41700,滚动弹幕,25,0xffffff,0,30135572,45982641812406277,世界上没有感同身受
26,108.62000,滚动弹幕,25,0xffffff,0,30135572,45982631990919171,可是虚荣心对我来说就够了
27,334.81300,滚动弹幕,25,0xffffff,0,adcf8498,45980928961937415,如果失败是你这样，也算成功了
28,334.19600,滚动弹幕,25,0xffffff,0,d8390e22,45980689237016581,求gbm
29,48.80400,滚动弹幕,25,0xffffff,0,6b490889,45977373411115013,。。。
30,277.88800,滚动弹幕,25,0xffffff,0,a71a2061,45971609912082435,太多人被世俗观念所束缚，不知道自己真正喜欢什么，只知道在汹涌的人潮中拼命地向前挤，仿佛在道路的尽头的是自己生命的终极意义一样。
31,260.84100,滚动弹幕,25,0xffffff,0,535eaa1e,45970819740336131,我哭了
