,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,101.55600,顶端弹幕,25,0x90c320,0,3a04ef4d,43680809798860805,要是平时我会来看这个视频?
2,110.37900,顶端弹幕,25,0xfef102,0,4943d03e,43536253194862597,我在卫生间看老杨讲作业
3,69.51900,顶端弹幕,25,0xfef102,0,4943d03e,43536221603364867,一个赞，一个币，一个收藏
4,83.69900,滚动弹幕,25,0xffffff,0,c7625256,43404786380308487,这里是黑字部分更加难写
5,34.19600,滚动弹幕,25,0xffffff,0,f84ff164,43404754864308231,一棵是枣树，另一棵也是枣树
6,59.37100,滚动弹幕,25,0xffffff,0,b8bd988a,43404344264491015,这个还少一句笑死我了哈哈哈哈哈哈
7,149.72800,滚动弹幕,25,0xffffff,0,ef66636f,43403934031151109,只有被贬 才能写出好东西
8,13.27900,顶端弹幕,25,0xe70012,0,425a653f,43403807270895623,我甚至连这都不会写
9,11.70700,滚动弹幕,25,0xe70012,0,dc11e696,46695726242594821,我也想写这么土的开头 
10,187.68800,顶端弹幕,25,0xfe0302,0,35667fa1,46669957127733253,你说巧不巧
11,27.22000,滚动弹幕,25,0xffffff,0,35667fa1,46669749193539589,我觉得挺好
12,223.05200,滚动弹幕,25,0xffffff,0,73c9903e,46607193764528131,啥玩楞
13,135.71200,滚动弹幕,25,0xffffff,0,a5f60d3c,46586986514350083,纸条就算了。
14,9.13900,滚动弹幕,25,0xffffff,0,3c3a3647,46585290118135813,别骂了别骂了
15,164.71500,滚动弹幕,25,0xffffff,0,278591c7,46584547623567363,好家伙，原来夸克这么用
16,147.50200,滚动弹幕,25,0xffffff,0,15df8e3,46536830175674371,总结，苏轼：被贬
17,116.97900,滚动弹幕,25,0xffffff,0,e5ecadab,46490743276568581,我也在厕所！
18,202.05800,滚动弹幕,25,0xffffff,0,f48d8b9,46445588505427971,哈哈哈哈哈哈
19,118.39700,滚动弹幕,25,0xffffff,0,dd4e4047,46437115171438599,じゃ、まだ行ってみませんか？
20,1.53300,滚动弹幕,25,0xffffff,0,dd4e4047,46437046679502855,大家都爱学习的啊
21,196.18900,滚动弹幕,25,0x683a7b,0,ff5fc0ef,46436941368918019,。。。。。。。。。。。。
22,60.45700,滚动弹幕,25,0xffffff,0,afc18381,46435983564472323,别骂了
23,10.74700,滚动弹幕,25,0xffffff,0,bea8eb2b,46434278138445829,虎头蛇尾预订
24,103.47900,顶端弹幕,25,0x4266be,0,164d05a5,46430983674134533,我要会积累，还来这找你？
25,208.67200,滚动弹幕,25,0xffffff,0,764c827b,46427442973245447,梅开二度
26,154.72400,滚动弹幕,25,0xffffff,0,1af24412,46403686456360963,啊些
27,199.78900,滚动弹幕,25,0xffffff,0,ce6b48f4,46400142077591557,梅开二度
28,121.88800,滚动弹幕,25,0xffffff,0,ce6b48f4,46400101230313477,猝不及防
29,26.80500,滚动弹幕,25,0xffffff,0,9618abb2,46399457097940999,我连这个土的都写不出来
30,79.50600,滚动弹幕,25,0xffffff,0,f563dcaa,46398956755746819,一把刀，一条狗，一个使命
31,60.43500,滚动弹幕,25,0xffffff,0,f563dcaa,46398849161887751,一节课，一个收获，一份感悟
32,16.88600,滚动弹幕,25,0xffffff,0,f563dcaa,46395743740100613,就这我也不行啊
33,243.15100,滚动弹幕,25,0xe70012,0,ccd15f3f,46392266289840135,应该是二九？毕竟高考大多十八？但是。。不好听还是二八显得我年轻吧
34,142.36700,滚动弹幕,25,0xe70012,0,ccd15f3f,46392176210870277,我还以为夸克是用来看。。。。
35,102.94800,滚动弹幕,25,0xe70012,0,ccd15f3f,46392152319590403,我不是！我是有素材不会用。。嘤嘤嘤
36,64.31200,滚动弹幕,25,0xffffff,0,ccd15f3f,46392116072415239,是秋日的金风，是冬日的暖裘？
37,221.21400,滚动弹幕,25,0xffffff,0,486b733e,46352559860875267,哈哈哈哈哈哈哈哈哈
38,68.53900,滚动弹幕,25,0xffffff,0,583dba15,46349168295804935,一闭眼，一睁眼一天就过去了。一闭眼不睁眼一辈子过去了。
39,27.73900,顶端弹幕,25,0x90c320,0,e69de6b5,46310639712337925,我是来听相声的
40,199.19100,滚动弹幕,25,0xffffff,0,fba76550,46307244932857861,好家伙直接上推荐，像极了广告
41,228.91300,滚动弹幕,25,0xffffff,0,8080fa0d,46295677821517831,老王家卫了
42,223.43100,滚动弹幕,25,0xffffff,0,3ebe7f53,46272273446338563,好家伙！你就是看不起我秒钟！
43,17.29500,滚动弹幕,25,0x927939,0,d9a8531c,46258525679124483,奥力给
44,177.55700,滚动弹幕,25,0xe2027f,0,d9a8531c,46258168807817221,牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼牛逼
45,216.28000,底端弹幕,25,0xfe0302,0,cf7ee67e,46256449566801923,梅开二度，猝不及防，广告找老杨对了
46,15.17900,滚动弹幕,25,0xffffff,0,c72db855,46217346944073733,这完美的排比
47,31.50400,滚动弹幕,25,0xffffff,0,5ec19ab3,46210081166983173,我连老土的都写不出
48,244.57100,滚动弹幕,25,0xffffff,0,25c21c3a,46195703825825795,自己笑了，不好意思加不得不加，文人嘛，羡慕有钱人又要清高
49,87.68100,滚动弹幕,25,0xffffff,0,bc6d443a,46127792004268039,哈哈哈哈嗝
50,87.68100,滚动弹幕,25,0xffffff,0,bc6d443a,46127789843677187,排比都记不住还记得住这个？
51,38.73800,滚动弹幕,25,0xffffff,0,e375ff41,46125251876618243,。。。。
52,253.76400,滚动弹幕,25,0xffffff,0,3f3af7e3,46119299703111685,好厉害
53,110.19400,滚动弹幕,25,0xffffff,0,f2098a18,46117478722437123,大师，我悟了
54,46.78900,滚动弹幕,25,0xffffff,0,e80be395,46112793634537475,一个人，一支笔，一个晚上，一个奇迹
55,37.20000,顶端弹幕,25,0xe70012,0,9652201,46112752142385159,我懂了！
56,39.02000,底端弹幕,25,0xffffff,0,837cb0f7,46111118106034181,我家门口有两双鞋，一双是我的，另一双也是我的
57,194.01900,滚动弹幕,25,0xffffff,0,4ac9d0a9,46105305164546051,猝不及防
58,11.32600,滚动弹幕,25,0xffffff,0,1965e2b4,46103509668986885,摄像头，拆，懂 
59,194.60500,滚动弹幕,25,0xffffff,0,b450d9bd,46102221090717701,哈哈哈哈哈
60,167.85400,滚动弹幕,25,0xffffff,0,20e555f0,46087034088980487,duang～
61,98.29400,滚动弹幕,25,0xffffff,0,20e555f0,46086924163088389,牛啊牛啊
62,175.46500,滚动弹幕,25,0xffffff,0,71bbf14b,46083357446504453,哈哈哈哈哈哈哈
63,101.95700,滚动弹幕,25,0xffffff,0,71bbf14b,46083019511431171,你肚子里有多少素材自己没点数吗（滑稽）
64,68.39400,滚动弹幕,25,0xffffff,0,71bbf14b,46082970166493189,哈哈哈哈哈哈哈哈哈，真实真实真实真实真实真实真实
65,16.89000,滚动弹幕,25,0xffffff,0,ba987e77,46076814583922695,哈哈哈哈哈
66,37.45800,滚动弹幕,25,0xffffff,0,622c68a3,46065680069427207,这个特爱
67,55.92100,滚动弹幕,25,0xffffff,0,7b8410b6,46058113934032903,有1吗？
68,126.14200,滚动弹幕,25,0xffffff,0,b036ba88,45943535781281795,怎么回事呢？好像被种草了hhh
69,10.08300,滚动弹幕,25,0xffffff,0,68a7552,45899148336037893,我這都寫不出來啊
70,81.24600,滚动弹幕,25,0xffffff,0,16985bda,45848404448772099,捉虫 应该是锥心泣血
71,235.66300,滚动弹幕,25,0xe70012,0,3dcb1d6c,45826913856913415,哇！！
72,135.52600,滚动弹幕,25,0xffffff,0,61adc4ae,45813302808805379,好家伙
73,130.28200,滚动弹幕,25,0xffffff,0,b5f7b407,45807234315714565,猝不及防
74,246.58700,滚动弹幕,25,0xffffff,0,76631649,45794847873302595,哇塞
75,42.45900,滚动弹幕,25,0xffffff,0,56805628,45767735795253255,门口有两棵树，一棵是枣树，另一棵还是枣树
76,13.81900,滚动弹幕,25,0xffffff,0,1a11eca8,45762806204596231,我连这个都不会呜呜呜
77,123.60100,滚动弹幕,25,0xffffff,0,971d7c16,45761298079154179,？？？
78,206.76500,滚动弹幕,25,0xffffff,0,7b63328c,45760617736306691,血是xie三声！！
79,12.62600,滚动弹幕,25,0xffffff,0,fde8e230,45758495095521285,我：那天
80,203.00400,滚动弹幕,25,0xffffff,0,c765369e,45743948270927877,哈哈哈哈哈哈哈哈哈
81,197.65100,滚动弹幕,25,0xffffff,0,c765369e,45743945465462789,？？？？？？？
