,弹幕
1,《  我  有  好  几  个  朋  友  》
2,没有传统手艺我就放心了
3,嗯，那我们为什么要上学呢（doge）
4,好家伙，平常都一声不吭的
5,我帮我朋友看看
6,我有个朋友…
7,我帮我朋友看看
8,谢谢，刚分手
9,再来两条，我不中算我没出息！
10,全做到的还有救吗？
11,十死无生了我
12,帮朋友看看
13,全中
14,借你吉言
15,帮朋友看看
16,我帮男朋友看看
17,全中
18,完了我压力大
19,第七个没办法，高中生活
20,帮我兄弟看看
21,无中生友
22,帮我儿子看一下
23,借你吉言
24,我好兄弟叫我帮忙看看
25,哈哈哈
26,哈哈
27,我替朋友看看
28,帮我朋友看看
29,淑女们好
30,完了没救了
31,我有个朋友
32,我替朋友看看
33,替我朋友看看
34,我帮朋友看看
35,我缺的是这些吗？
36,完美错过
37,喝酒
38,替我男朋友看看
39,4个还行哈哈哈
40,朋友……
41,帮男朋友看看
42,帮男朋友看看
43,我是他们朋友
44,我在跷二郎腿抽烟看这个视频。。。
45,借你吉言
46,抽烟那个是假的
47,好家伙要我洗冷水澡吗
48,我替朋友看看
49,俺也有个朋友
50,我朋友让我来看看
51,up加水
52,up加水
53,巧了，我也有一个朋友
54,我帮朋友看
55,我  有  一  个  朋  友
56,我有几个好朋友
57,我自己看看
58,最后4个我中了
59,我 有 个 朋 友
60,淑女们好
61,借你吉言
62,借你吉言
63,我帮我朋友看看
64,我代替朋友来看看
65,我一个没有
66,七八十
67,"正在干饭,补作业 "
68,。？？？？
69,我立刻站了起来 
70,七八
71,up加油
72,我帮我朋友来看看
73,无中生友
74,借你吉言
75,学生直呼卧槽
76,吓死我朋友了，幸好
77,替朋友看
78,帮我一个朋友看一下
79,无中生友
80,789都有
81,各位男性朋友有的时候会被水淹没不知所措
82,洗冷水澡？
83,穿着紧身裤在桑拿房翘着二郎腿抽着烟喝酒然后熬一宿出来后吃好多东西
84,《我有个朋友》
85,盲猜第一熬夜
86,up加油！
87,这
88,帮我男朋友
89,up主加油
90,戴cb会怎样。。。
91,下次亿定
92,学生党表示：我特么
93,朋友
94,咳，咳，我帮我朋友康康
95,我帮我朋友看看
96,我有一个朋友
97,我帮朋友看看
98,啊这
99,帮盆友看看
100,帮盆友看看
101,帮   友   看
102,无中生友
103,我有个朋友
104,我有个朋友
105,武器削弱眼
106,十全十美
107,我啪的一下就站起来了
108,?
109,我帮我张翰源看的
110,朋 友 竟 是 我 自 己
111,我帮我朋友看看
112,淑女们出来吧
113,占两个
114,到这里我才发现我是十佳少年
115,在桑拿房里翘着二郎腿喝着酒刚吸完烟
116,帮兄弟看看
117,借你吉言
118,好好想想你为什么进来
119,借你吉言
120,帮我朋友尚武看看
121,我有一个朋友
122,借你吉言
123,全中
124,第8个改不了呀
125,你该思考你为何进来
126,喝肥宅快乐水不香吗
127,我替颜秉政看看
128,播放量啊我的天
129,我朋友想了解一下
130,我有个盆友
131,上班坐一天，感觉要玩
132,放心了，抽烟喝酒也就比泡热水高三四名
133,我全中 我没了
134,我帮我自己看看
135,给朋友看的
136,无中生友
137,十发全中
138,我有一个朋友
139,小米朋友非要看
140,帮阿伟看看
141,帮对象看看
142,我的朋友让我来看
143,十 项 全 能
144,up我来白嫖了
145,我帮朋友看看
146,草
147,草
148,污     中     生     友
149,想想你为什么点进来
150,无中生有 
151,葡萄干
152,手艺呢
153,熬夜和晚睡不是一个概念
154,无中生友
155,我有个朋友
156,学生党表示很淦
157,替朋友看看
158,给我男朋友看的（并不存在这种生物）
159,就一个
160,朋友
161,照你这么说，我们谁也不能有娃了！
162,我有一个朋友
163,全体起立  全体起立  全体起立
164,全体起立
165,我帮朋友看看
166,我朋友让他帮我看一下他身体最近有点虚
167,没有传统手艺？爷青结
168,我帮朋友看看
169,无中生友
170,各位淑女出来吧
171,无中生友
172,我的不是胖哥哥嘛
173,你进来干嘛？
174,干脆灭了我算了
175,你干脆直接报身份证号吧
176,抽根利群压压惊
177,抽根利群压压惊
178,我朋友说跟紧身裤有啥关系
179,我朋友想知道才点进来的
180,无中生友
181,好好反思一下自己为什么会点进来
182,帮同事看看
183,？
184,789，10
185,我兄弟吵着要看
186,？来了？
187,我朋友全中
188,我丸整天被女朋友压着，烦死了
189,我敞开了坐还有影响？
190,我来帮朋友看看
191,没有冲么
192,什么意思啊看不懂
193,我     一      朋
194,我有个舍友。
195,我就是最突出的
196,居然没有传统手艺
197,我就是帮帮朋友
198,给朋友看看
199,帮林友锋看一下
200,我特么全中
201,吓得我赶紧来躺下
202,呵呵
203,淑女出来挨打（bushi）
204,8个。
205,雌性激素
206,雌性激素？
207,我有一个朋友让我帮他看一下
208,我朋友想了解
209,借你吉言
210,我帮我朋友看看
211,我帮我好朋友看一下
212,在教室里一坐一两个小时的我
213,无中生友
214,借你吉言
215,是我自己
216,我替我朋友康康
217,我帮我朋友看的
218,借你吉言
219,看了看没救了
220,十个全中
221,4个
222,我默默地放下了我的二郎腿
223,朋友
224,有一个朋友
225,众所周知泡温泉对身体有害
226,学生党全部死亡
227,？？
228,帮朋友看看
229,咳咳   没有那啥吗
230,我有一个朋友
231,帮朋友看看
232,无中生有
233,我一个朋友叫我帮他看看
234,无中生友
235,蝌蚪？
236,我帮张希龙看看
237,巜无中生友》
238,我帮我一个朋友问问
239,我有个儿子……
240,飞机
241,高三学生害怕
242,我朋友都干
243,帮我男朋友看看
244,这个玩意为什么会出现在我的首页了
245,祖传手艺不能丢 
246,我一个朋友
247,我一天起码座十二个小时
248,我帮朋友看看（认真脸）
249,我帮朋友看看
250,早啊朋友们
251,就俩，还行
252,我这朋友有点危险啊
253,我帮我朋友看的
254,我全中，好家伙
255,所以应该穿裙子
256,我帮兄弟瞅瞅
257,我替朋友问问
258,学生党暴怒 8
259,热水澡不行？？？
260,卧槽，我全都有
261,帮我朋友看看
262,我有一个朋友
263,洗热水澡算不算
264,借你吉言
265,帮朋友看看
266,好家伙
267,怎么办我喜欢泡完热水澡翘着二郎腿蒸桑拿
268,那传统手艺呢
269,中了七个……
270,帮朋友看看
271,我帮朋友看看
272,作业…
273,我帮我朋友看看
274,我帮我朋友看看
275,有个朋友
276,替男朋友看看
277,伤害小蝌蚪跟雌性激素有什么关系
278,歪日全中
279,《我 有 个 朋 友》
280,我有两个娃我无所谓
281,完了把我吓死了。
282,无中生有系列
283,无中生友
284,？？？全中
285,借您吉言
286,就你有
287,我一个女生为什么会出现在这里
288,啊这
289,晚安
290,78910
291,全中
292,帮我兄弟看看
293,除了8其他都没中
294,帮我朋友看看
295,笑死我了
296,？
297,吓得我赶紧换了另一条腿
298,从七开始全占
299,高三党直接暴毙。
300,帮我朋友王邯看看
