,弹幕
1,艺术品不要用黄色的眼光看待它
2,这是艺术   lsp歇歇吧    你是人不是畜生
3,这个质感真的太棒了！
4,他们撕下我们敦煌壁画的痛苦他们体会到了吗？
5,这是艺术，别开车
6,那个奥地利人他是魔鬼派来的鹰犬和爪牙。
7,留念？难道别人的尸体了拿来做留念吗？
8,我天
9,看到这些作品的第一想法就是把这些东西抢过来放在我们的博物馆里
10,为何？
11,牛X
12,秀儿啊！
13,宛若菩萨
14,栩栩如生
15,艺术不需要打码！请不要用有色眼镜去看它！
16,我nm
17,？？？
18,米开朗基罗。。我以为你只是一只龟
19,男女通杀。。。阿门
20,这躯干
21,这手感
22,太厉害了
23,u
24,身材好棒
25,怎么做这么光滑?温文如玉
26,厉害
27,我长的都没这俩石头好看
28,23岁这作品，得多震撼啊
29,这是艺术，不要拿你们特殊的眼光看它
30,漂亮，高手
31,我不敢相信这是很久以前人雕刻的。。
32,哇
33,好绝
34,呦，哥几个涉猎挺广，雕塑也来看看
35,无情
36,碎片又不值钱
37,什么素质
38,真美呀
39,看起来很丝滑
40,哇哦！
41,这就是天赋把
42,俺也一样
43,市民之子！
44,这个在乌菲兹美术馆还有一个，到现在我也没搞清楚哪个是原作
45,哪里都是垃圾人
46,23岁……是神吧
47,呵呵，龙门石窟多少佛头都没了
48,草....
49,太强了
50,好厉害
51,卧槽卧槽
52,卧槽太牛了
53,真的有这么丝滑吗？
54,卧槽
55,疯子一个
56,绝
57,那个毛好性感
58,厉害
59,贝尼尼！
60,神一样的人
61,真是牛
62,我靠
63,摩西!
64,西方高素质
65,我想看大卫
66,有病啊
67,天才
68,麦琪！
69,厉害啊
70,这是扶她
71,好难过
72,正道的光
73,我也来条弹幕，天哪，我的爷啊
74,牛逼，好真
75,天啊，这竟然是石头？
76,这是活的吧？！
77,暴殄天物！
78,太难受了
79,我靠
80,厉害
81,pieta
82,厉害
83,卧槽，这居然是雕塑
84,真的没有素质
85,想想你为什么点进来
86,这是男的
87,确实传神
88,我去
89,太强了
90,外国人素质真高
91,太牛了
92,太厉害了
93,太美了
94,心痛
95,绝了
96,绝了
97,这叫做悲伤到极致，失去表情懂吗
98,古人的大手办
99,还有青筋绝了
100,这质感太强了吧
101,200公斤的英国大理石
102,艺术服务于信仰
103,牛逼啊
104,这个手还挺好看的
105,因为喜欢男人
106,因为喜欢男人
107,扒开
108,石头能雕刻成这样是真的牛逼
109,以前的雕塑我每次看都会被震惊到 还有一个是蒙面纱的 我忘名字了 反正也很牛
110,我的天哪 好厉害
111,为什么拿圆明园做比较还就不能难过了？这应该是全世界共同的悲伤，就像全世界也对于圆明园的悲剧感到悲伤
112,这跟真的是似的
113,摩西
114,好真实的样子
115,太强了
116,高素质欧洲人。
117,海尔马弗狄特
118,文艺复兴
119,无法想象怎么做到的
120,别人的23岁
121,哇
122,哇偶
123,而且那个布的感觉
124,我擦
125,好牛好牛
126,tmd有病
127,素质？
128,我素描能画这么好七级不就过了
129,信仰没少创造疯子
130,绝了
131,太强了
132,太强了
133,好厉害
134,牛啊
135,？？？
136,骨节分明的手，还有青筋
137,建议大家去看看《艺术创世论》
138,鬼斧神工！
139,那并没有
140,《圣殇》
141,如果不出众怎么成为大师呢
142,大师
143,好厉害
144,天……
145,哇！
146,牛
147,前面拿圆明园做比较的是傻逼吗
148,毁灭圆明园行为
149,《人性》
150,绝美
151,太强了
152,斯巴拉西
153,唉
154,太精细了
155,我去这s
156,真的好棒
157,牛皮
158,我的天
159,？？？？
160,woc牛逼
161,hso
162,也太逼真了吧
163,卧槽
164,厉害厉害
165,莫名感觉这更形象
166,属实牛批
167,？
168,好真啊，活的似的。
169,好美
170,光泽
171,这双手我爱了
172,手感不错哦
173,大师了！
174,厉害
175,200公斤的英国大理石
176,当心被女拳捶难
177,贝尼尼
178,好厉害啊
179,有病吧
180,哇
181,这个连被褥都是大理石雕的我看的直呼好家伙
182,就算带着性眼光去看，依然是美的享受。我不认为那些雕塑家不带有激情。
183,这是用什么刻的？感觉好光滑
184,雕刻的太真实了，大师
185,我的天啊！太好看了吧！
186,满大街是翔的时代，让这些雕塑显得更加圣洁
187,我的天，好厉害
188,呵
189,啊这。。
190,好绝
191,我妈问我在看什么。。。！
192,绝了…
193,卧槽
194,太美了
195,大师啊
196,！！！！
197,这就是艺术家自己做的手办？
198,绝了
199,哇
200,？？？？
201,卧槽
202,贝尔尼尼和他什么关系？
203,在于他孤独悲哀的内心
204,哇咔咔
205,感觉下一秒会睁眼
206,性与褶皱
207,绝了
208,厉害厉害
209,好牛啊
210,看着好疼
211,贝尼尼！
212,绝了
213,太nb了吧
214,wc绝了
215,绝了！
216,高一美术课本里有
217,神TM留念！！
218,？
219,性的艺术表演手法
220,天才
221,太厉害了
222,神人也
223,牛啊
224,天才
225,我的天啊
226,nb 
227,这特么是石头？？
228,真比打印的还真
229,？
230,好家伙，我居然感觉出了柔软！
231,卧槽
232,MD牛逼
233,神仙
234,厉害
235,太好看了
236,文艺复兴西方人一场规模宏大的造假计划
237,天才是存在的啊。。。
238,太强了
239,好柔和。。。。
240,请问这个枕头也是大理石雕刻的么？
241,d
242,泪沟好绝
243,真的是石头吗
244,！这个经常用来当衣褶练习和人体的参考！
245,太强了
246,艺术品不需要打码 需要会欣赏的人
247,反正看不懂
248,没有啊这色泽就，大理石啊
249,就是腋下这里！跟真的一样！
250,细节牛逼
251,黑帆吗？
252,这个质感!
253,枪毙
254,我的天
255,这也太真了吧
256,好生气啊
257,確實牛逼
258,好牛
259,太强了不亏是大师
260,我是fw
261,我只是感觉这个屁股挺光滑的
262,没
263,我被骗进来的
264,牛逼
265,哇，真的好真
266,细节
267,我靠，血管
268,好好反思一下自己为什么会点进来
269,就这技术  随便拿块石头雕都是我买不起的
270,图省事呗
271,太强了
272,有病啊这个人！！！！
273,这个肉感雕刻的真是绝了！好厉害！
274,这是TM是石头吗
275,OMFG
276,哇
277,真的很难想象雕塑可以这么逼真
278,绝美
279,好心疼啊
280,厉害
281,也太真实了
282,太漂亮了
283,干将
284,啊这
285,天啊，太牛了
286,贝尼尼！
287,然后贝尼尼出现了
288,真厉害
289,这个雕塑，真的很好看啊
290,栩栩如生
291,那个人多少有点儿大病。
292,拿圆明园做比较的那人是zz吗。。。
293,太强了。。
294,可惜了啊
295,强啊
296,绝了啊
297,？？？
298,？
299,真的是天才
300,这是艺术！
301,+
302,好厉害
303,确实是大师
304,？？？？？？？
305,太厉害了
306,好强，这种雕塑让生硬的石膏有了柔软的肌肉感
307,连血管都很美！
308,好好的艺术品
309,雕刻完成应该需要很久吧
310,我太喜欢了
311,厄。。。
312,………
313,疯子
314,强
315,二百多斤的英国大理石
316,好强
317,狂热分子
318,卧槽
319,我在大都汇博物馆看到也是好喜欢这些雕塑
320,帕尼尼
321,表示我还能生一个
322,卧槽
323,这太神了
324,好喜欢这个手，手控狂喜
325,卧槽好美
326,如果不是因为没有颜色，略微近视的人一定会觉得这是真人
327,这是魔法叭
328,？？？这竟然是雕塑
329,好柔软的感觉
330,我看过这个
331,可恶至极
332,这个手也好好看
333,混蛋
334,混蛋
335,太漂亮了
336,？？？？？游客666
337,我的天啊
338,厉害厉害
339,贝尼尼
340,心疼
341,卧槽
342,手好漂亮
343,神不在乎
344,咱们有人能搞出这种感觉吗？
345,太美了
346,我可以
347,孙悟空可能真的有妈妈（doge）
348,这尊雕塑被砸烂过
349,这是真的肉体吧
350,这是活人打蜡了吧？
351,！！这个胸上有蛇的女人我素描画过
352,这个角角哈哈哈
353,就离谱
354,有病吗
355,好厉害
356,好真实，我的天
357,我的天
358,☞。，* ，
359,所谓艺术就是全裸面对你也不会有感觉
360,看起来软软的
361,太强了吧
362,我见过雕的更好的大腿……
363,哈哈哈！
364,贝尼尼yyds
365,真的有怎么丝滑吗
366,他还刻过太阳神阿波罗和达芙妮
367,50多块……
368,血管啊
369,皮肤好好
370,爱了爱了
371,抢媳妇，说的这么脱俗
372,论西方游客素质
373,感觉像软的
374,太腻害了
375,掐了掐自己的大腿 oh 我没有这么多肉
376,太厉害了吧
377,应该一直这样的
378,看哭了
379,我猜男的是宙斯
380,我以为是那个石头打造…(?
381,6666
382,真厉害
383,雕刻出来的也太离谱了吧。。。????!!!!!
384,这是里面装了个人吧
385,好家伙视觉效果就像软胶一样，根本不敢相信是石头​
386,贝尼尼yyds
387,早该这样了
388,？？？
389,感觉好像有泪痕一样
390,厉害
391,他有罪
392,卧槽
393,哈哈哈哈哈哈
394,感觉到疼
395,这是新古典啊
396,巴洛克在文艺复兴之后啊
397,高素质
398,禁禁禁禁
399,牛批呀，这才叫艺术
400,那个疯子受到惩罚了吗
401,靠
402,牛
403,噫
404,艺术是不分国界的 雨果也为圆明园感到心痛
