,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,74.05900,顶端弹幕,25,0xfef102,0,68ede0d8,45969536061538307,内蒙人表示up口音听着好亲切
2,62.95500,顶端弹幕,25,0xe70012,0,1ccc24c5,45664613949767685,那你是怎么知道女生的？
3,34.24600,滚动弹幕,25,0xffffff,0,7fa67c7f,45652832224804867,加氯气可还行
4,11.73600,滚动弹幕,25,0xffffff,0,d8233766,45636175784312835,咱能先把水关了么
5,89.21900,滚动弹幕,25,0xffffff,0,9ac83ef8,46683849411788807,结果纯净水就是自来水
6,65.98800,滚动弹幕,25,0xffffff,0,65d7f518,46682695322828803,国内没有让你喝呀
7,0.00300,滚动弹幕,25,0xffffff,0,6052fe55,46674605648642055,这里不好那里不好，你怎么还呆在那里？？？装啥大尾巴狼啊？？？
8,33.01900,滚动弹幕,25,0xffffff,0,9d623f43,46665351204175879,啊就这还能直接饮用？
9,45.71900,滚动弹幕,25,0xffffff,0,edd6a8c0,46664930382315523,氯气
10,65.78500,滚动弹幕,25,0xffffff,0,352f8de1,46658110944182275,流量还可以
11,72.19700,滚动弹幕,25,0xffffff,0,dabc4f5f,46654590206607367,你咋知道？
12,71.76300,滚动弹幕,25,0x2e72,0,31fd73b4,46653390025916419,污水有水垢吗
13,60.90300,滚动弹幕,25,0xffffff,0,37eba3bf,46624280613486597,国内不也有股消毒水味吗
14,50.41900,滚动弹幕,25,0xe70012,0,293252ac,46621593327108101,恒  河（dog）
15,96.01900,滚动弹幕,25,0xffffff,0,e8eff310,46609664633733127,不是说这些地方都是直接饮用水清人美吗
16,93.00400,滚动弹幕,25,0xffffff,0,53e33984,46608481925988357,能别瞎说么，照你这么说那儿的人不全是秃子
17,88.14500,滚动弹幕,25,0xffffff,0,7c7cd7c8,46608289087094791,哈哈哈哈哈哈哈哈哈哈哈
18,54.01900,滚动弹幕,25,0xffffff,0,5298f049,46606930573524997,那个，环境工程专业的，杠一下，是给水厂，不是污水处理厂(狗头)
19,23.64800,滚动弹幕,25,0xffffff,0,a730a26e,46602366964727815,好浪费啊我疯了
20,62.87900,滚动弹幕,25,0xffffff,0,dfbf2989,46594859747246083,真实，发顶可见
21,41.54300,滚动弹幕,25,0xffffff,0,c61f44f7,46585435692990467,深圳也是
22,35.08800,滚动弹幕,25,0xffffff,0,4b8d4570,46582896215457795,北京也一样
23,80.31600,滚动弹幕,25,0xffffff,0,5188dd0f,46579075502833667,国内也一样，西北也一样 还看到说武汉也一样的 呵呵，你们都要囤水对吧？还有那武汉的 我就在你长江前面一段 长江水不能说很干净吧 但是被你说成这样，也可见你肩膀以上的部位是如何的。
24,41.19400,滚动弹幕,25,0xffffff,0,4ffbe698,46565593333628933,不都一样吗？
25,89.06800,滚动弹幕,25,0xffffff,0,5832a7c3,46563840863240195,Cosco 
26,1.82800,滚动弹幕,25,0xffffff,0,3ca46fdf,46562231338926087,昂撒匪帮
27,70.93300,滚动弹幕,25,0xffffff,0,8f5746c3,46561626823852039,德国也是
28,40.21900,滚动弹幕,25,0xffffff,0,8f255002,46559679950618627,这tm叫能喝？砒霜1mg也死不了人
29,29.12300,滚动弹幕,25,0xffffff,0,87858cbf,46559594430857221,现在西方的一切都不再相信了
30,72.81600,滚动弹幕,25,0xffffff,0,a67e57e9,46556240608755719,烧开几分钟吧
31,12.91400,滚动弹幕,25,0xffffff,0,cda44e70,46540589757890567,新西兰也一样
32,45.42500,滚动弹幕,25,0xffffff,0,480dae02,46540216237293571,卧槽
33,40.42100,滚动弹幕,25,0xffffff,0,480dae02,46540213557657603,卧槽
34,85.47300,滚动弹幕,25,0xffffff,0,f0fcbdf9,46537250501558275,按净水器呀
35,97.32700,滚动弹幕,25,0xffffff,0,75ab1b3c,46532323889381383,好家伙好标准的东北话
36,16.37500,滚动弹幕,25,0xffffff,0,3ef0a512,46530327147446275,法国+1
37,18.99800,滚动弹幕,25,0xffffff,0,23c35dc0,46526194374934535,常吃改天嘎嘣儿
38,34.93100,滚动弹幕,25,0xffffff,0,f15ae7f4,46525560164188165,新西兰也是…
39,13.55300,滚动弹幕,25,0xffffff,0,30b91ca4,46522366199070727,是的 爱尔兰也这样 回国之后发现肾结石了
40,38.45700,顶端弹幕,25,0xfef102,0,f716142,46518574125154309,很简单，你多存一袋沙子，喝水的时候直接放
41,83.56400,滚动弹幕,25,0xffffff,0,31607b80,46516507984789507,哈哈哈哈哈哈哈哈夺笋
42,61.94000,滚动弹幕,25,0xffffff,0,62f66295,46510619966832647,所以英国人秃头是水的缘故吗
43,78.99400,滚动弹幕,25,0xffffff,0,5f3790e8,46501484208586757,加麻大
44,31.86700,滚动弹幕,25,0xffffff,0,17a08351,46496636984098821,我就说怎么那么一大股味儿，真的很反胃
45,28.99400,滚动弹幕,25,0xffffff,0,2eba0d49,46488101691850755,我去
46,75.00100,滚动弹幕,25,0xffffff,0,d66ca949,46485607245414407,我现在干脆剃光头了 都懒得挣扎了
47,42.71900,滚动弹幕,25,0xffffff,0,609c7731,46484966140280839,英国人日本人爱秃头好像就跟水有关
48,16.95900,顶端弹幕,25,0xe70012,0,6430aa90,46479503276376071,铁线虫警告
49,31.92600,滚动弹幕,25,0xffffff,0,b03168e9,46469510024658951,???????
50,14.10500,滚动弹幕,25,0xffffff,0,fe5bfcd9,46467016571748355,流出的水大嘛味
51,97.48800,滚动弹幕,25,0xffffff,0,f07794b5,46463116780765191,这超市跟仓库似的
52,30.90600,滚动弹幕,25,0xffffff,0,26a62c0c,46455157303541765,南方都是这样的水
53,72.34100,滚动弹幕,25,0xffffff,0,26a62c0c,46455024213032967,难怪白皮秃头多
54,26.59900,滚动弹幕,25,0xffffff,0,54681ea3,46453992606662663,很我们这差不多
55,67.99900,滚动弹幕,25,0xffffff,0,df245ed7,46447741307977731,哈哈哈哈哈哈
56,42.11000,滚动弹幕,25,0xffffff,0,b619021c,46445140190429191,上海的水也这样
57,38.12900,滚动弹幕,25,0xffffff,0,5126879e,46444853740437509,英国也一样
58,39.89900,滚动弹幕,25,0xffffff,0,3549586d,46444602430849027,就是加氯气好吧，没文化别出来秀
59,63.76500,滚动弹幕,25,0xffffff,0,3a5643c,46444310240952325,所以国外的人一般都买包装水喝
60,37.37900,滚动弹幕,25,0xffffff,0,29f49d0b,46436411043217413,啊这
61,20.94300,滚动弹幕,25,0xffffff,0,add780c0,46430895953936391,有点浪费了
62,38.22800,滚动弹幕,25,0xffffff,0,50d37588,46429604343185415,你确定这水达到饮用标准了？？
63,44.04800,滚动弹幕,25,0xffffff,0,3c8eacb0,46424186816036867,牛逼
64,34.98700,滚动弹幕,25,0xffffff,0,ce17a03,46420748713590787,口里的都是假的，脚才是最诚实
65,46.99100,滚动弹幕,25,0xffffff,0,2f358c16,46420213423407107,！？
66,50.53800,滚动弹幕,25,0xffffff,0,d11341a,46408433372495875,草
67,35.69400,滚动弹幕,25,0xffffff,0,d11341a,46408425570566151,草
68,8.08600,滚动弹幕,25,0xffffff,0,cdc1312b,46407257036423175,俄罗斯也是！！！淦！！
69,83.07000,滚动弹幕,25,0xffffff,0,b7734026,46405202269437957,脱毛膏省了
70,71.91900,滚动弹幕,25,0xffffff,0,924e6d34,46403902658576389,前面的 up现在回来了
71,48.31200,滚动弹幕,25,0xffffff,0,22913eab,46402938776059909,着叫沉淀！好多了！
72,57.47600,滚动弹幕,25,0xffffff,0,b87f00ba,46394112689045507,牛啊牛啊
73,16.61400,滚动弹幕,25,0xffffff,0,e0b5d54b,46390726365806597,免费让你喝矿泉水，多好啊
74,51.73500,滚动弹幕,25,0xffffff,0,58807f4e,46390247136165895,好脏啊
75,32.61500,滚动弹幕,25,0xffffff,0,abc13cc,46389890539585543,妈耶
76,39.81900,滚动弹幕,25,0xffffff,0,f43fed40,46387028272611333,太可怕了
77,36.89800,滚动弹幕,25,0xffffff,0,f0a9db95,46384767271174149,卧槽
78,2.01700,滚动弹幕,25,0xffffff,0,db7be094,46381675675385863,哈尔滨江北的水有过之无不及
79,49.31800,滚动弹幕,25,0xffffff,0,bbd1d9b6,46375904060375045,我在英国喝了五年自来水你敢信
80,58.64700,滚动弹幕,25,0xffffff,0,40797194,46373130477764611,yue了
81,35.53200,滚动弹幕,25,0xffffff,0,40797194,46373118387683331,卧槽
82,46.28900,滚动弹幕,25,0xffffff,0,5a06e73a,46371874843131907,煮沸的水不能直接喝你知道吗
83,27.08200,滚动弹幕,25,0xffffff,0,f13274a4,46369961028878339,意大利也是这样，我每次喝烧的水都卡嗓子，就买矿泉水喝
84,88.57900,滚动弹幕,25,0xffffff,0,f8b521c4,46356552623849479,真胖呀
85,88.33900,滚动弹幕,25,0xffffff,0,360b5e6c,46355781736464387,哇哈哈哈哈哈
86,50.41900,滚动弹幕,25,0xffffff,0,16d4779f,46340853277917187,？？？？
87,0.14800,顶端弹幕,25,0xe70012,0,ce03854b,46339617650638853,加拿大留学生表示真实
88,28.03200,滚动弹幕,25,0xffffff,0,adbc13a6,46336650814947331,关掉啊
89,77.29800,滚动弹幕,25,0xffffff,0,61c8f301,46328989532815363,同款
90,31.61900,滚动弹幕,25,0xffffff,0,e2c4193,46324945969479687,卧槽这是我家烧了三四年水垢的量
91,29.99000,滚动弹幕,25,0xffffff,0,6bb3a0d,46319027703775237,欧洲也是这样
92,37.73900,滚动弹幕,25,0xffffff,0,11a09143,46315519485149187,游泳池的味是因为里面有尿素
93,26.23000,滚动弹幕,25,0xffffff,0,cc9b7a93,46315154235719683,节约用水啊！
94,38.77900,滚动弹幕,25,0xffffff,0,5e27442e,46312731093499909,氯不超过一定比例是可以杀菌的
95,70.94700,滚动弹幕,25,0xffffff,0,cebe3dd1,46311062791258115,加氯还生喝啊，
96,49.16000,滚动弹幕,25,0xffffff,0,bb984f6c,46310635236491269,加个反渗透吧
97,25.37600,滚动弹幕,25,0xffffff,0,b7cb6016,46308829812490247,日本的水也是这样
98,59.35900,滚动弹幕,25,0xffffff,0,cb92029d,46308676555243525,哈哈哈打水漂谢谢你
99,8.17600,滚动弹幕,25,0xffffff,0,89c7cc62,46300669003431939,不让用净水器吗
100,62.01900,滚动弹幕,25,0xffffff,0,d9334ce1,46297168490790917,二连浩特是因为重金属超标
101,59.14900,滚动弹幕,25,0xffffff,0,cc45ba74,46291782730776579,⊙∀⊙！
102,31.29900,滚动弹幕,25,0xffffff,0,3ebf54db,46290941368598531,这还能直接喝?
103,65.01900,滚动弹幕,25,0xffffff,0,d60f0dcd,46286141198434309,女生洗澡你咋知道的？
104,44.85900,滚动弹幕,25,0xffffff,0,ee6442f5,46285073026121731,有病，正好给医院增收！
105,50.13100,滚动弹幕,25,0xffffff,0,d7adb793,46271028985331715,武汉也这样
106,45.61700,滚动弹幕,25,0xffffff,0,ad993bf8,46268012570869765,卧槽
107,20.41900,滚动弹幕,25,0xffffff,0,643a33eb,46267952519446531,上海的也是
108,95.02300,滚动弹幕,25,0xffffff,0,f8b7ac0c,46267808235388931,好麻烦啊
109,34.61900,滚动弹幕,25,0xffffff,0,e0cd7de4,46265953301299203,我宁愿喝中国的自来水
110,85.06100,滚动弹幕,25,0xffffff,0,ca7a90d4,46263551860932615,哈哈哈哈哈
111,53.34900,滚动弹幕,25,0xffffff,0,d5625200,46262727412809733,恒河水
112,66.16500,滚动弹幕,25,0xffffff,0,db2e818,46260836381491205,我要是卖纯净水的我就把自来水厂收购了
113,81.60000,滚动弹幕,25,0xffffff,0,19c58524,46258120935079943,没用
114,38.16500,滚动弹幕,25,0xffffff,0,41f7d814,46254393145688069,好家伙
115,46.55300,滚动弹幕,25,0xffffff,0,d4182744,46254376963014661,哈哈哈
116,1.09000,滚动弹幕,25,0xffffff,0,982eb297,46252210496995333,装ro净水器
117,25.77900,滚动弹幕,25,0xffffff,0,982eb297,46252149348761607,TDS500
118,35.38000,滚动弹幕,25,0xffffff,0,bc1b21c9,46246958550482949,这能喝？
119,35.10100,滚动弹幕,25,0xffffff,0,72862ed4,46246039916118021,国内的自来水都可以直饮
120,42.03900,滚动弹幕,25,0xe70012,0,47eab3d3,46239765102067719,氯气可以太阳晒晒啥的能挥发掉
121,68.51900,滚动弹幕,25,0xffffff,0,a6645203,46226331074560007,哈哈哈
