,弹幕
1,《应该无所谓是不是女孩子之类的》
2,正常夫妻难道就可以违背别人的意愿吗？？？？
3,罪的是他爽的是我可太生草了
4,受害者有罪论真的是世界上最没有人性的理论之一
5,当这个人这么做的时候，他就已经不是我喜欢的人了
6,喜欢不代表允许对方随意地伤害自己
7,草！一个巴掌拍不响的让他们一个手打自己脸我看拍不拍的响！
8,喊他们去看看素媛
9,坦荡
10,No is No！
11,会
12,不会
13,脑子呢
14,评论还说的理直气壮的呵呵，是不是有毛病？人家一面说是违背意愿，违背意愿你懂吗？多读点书
15,着个sha x
16,这个评论还tmD说的很
17,？？？
18,逻辑鬼才
19,为啥去男生家
20,所以喜欢的人不会不高兴
21,我女朋友特别喜欢我在她睡着的时候上她.....
22,狠人
23,床上说着不，心里确很享受
24,太荒诞了太荒诞了兄弟
25,这还谁有那个心呢
26,把她说服了不就行了吗兄弟
27,女生都是我妈
28,日式思维不一样了
29,说不会的都是认为自己不会拒绝喜欢的人吧
30,请问 把标题改成男孩 会不会更有意思呢
31,她在上面是真的活该吧
32,这种事情能说清楚谁愿意谁不愿意吗
33,咬文嚼字的标题
34,我是男生 我看到这个标题就很生气
35,我是男生 请问我怎么判断女生说的“不”是 不？
36,霸道总裁语录
37,王嘉尔上我？？我会开心的鸡叫，梦里啥都有
38,不会
39,不能
40,希望杨超越可以接着来
41,违背意愿是基础定义，说会的女的你那是情趣游戏
42,生理没问题就怪了
43,好家伙你以为看片呢
44,愿意就算不算了么
45,被你们的坤坤呢
46,被坤坤呢
47,会恶心
48,开心还行啊
49,牛皮！
50,没有
51,不可能
52,我靠
53,违背意愿，怎么可能开心
54,而且强暴往往不仅仅是发生性行为，还会有暴力行为，被强暴你还指望他给你做足前戏吗？怕不是会疼死
55,只会失望，自己居然喜欢了一个伤害自己的罪犯
56,每个人都要！好好保护自己
57,不会不会不会
58,快nmd乐
59,这是人品问题，我不可能继续喜欢一个人渣
60,跟男女无关 跟人无关 被迫本来就是一件不舒服的事
61,我是男的我会
62,我是女生，我不可能高兴
63,？
64,会觉得恶心
65,？？？？
66,不是
67,woc
68,为什么专门问女孩子?男孩子被无视了吗？
69,喜欢就是愿意
70,我刚看了一部日本，女主在偶像面前被撞，偶像在旁边盯着，还被钟出了
71,我会很开心的
72,我是狼人，刀了他
73,这男的演小授现在
74,心底的猛兽
75,如果他能这么做出来说明不值得我喜欢
76,不开心
77,不要，杰哥
78,那就不是我喜欢的人了啊。。
79,那如果那个被强的人正好是m呢？
80,那这题不就离谱吗
81,不会
82,玩我？。。呵~直接杀了哦~
83,会
84,哈哈哈哈笑死
85,不仅不会高兴，而且不会再喜欢他
86,最后那个 牛逼了
87,不会，不会，不会，会恶心
88,那说会高兴的不都是女的？
89,这段笑飞了
90,asir你要不要也试试
91,《上面》
92,哪家的宠物物主还无权处置了？
93,这些人正常吗？去喜欢已婚的？
94,《极大的心理阴影》
95,笑死我了
96,是这样的吗？一定不是
97,知道了
98,你要上厕所还不肯脱裤子，怕是没人救的了你了
99,《越界》
100,很高兴
101,你说的都对
102,好耶
103,那不是喜极而泣
104,会呀
105,爽啊
106,高兴啊
107,就跟吃完S了还问拉S的人要纸擦嘴一样NICE
108,还有这要求啊
109,干得漂亮
110,太棒了
111,这不是活该吗
112,还有这种蠢人？我笑了
113,好耶
114,欢迎来喷我
115,《不要》
116,会开心！
117,会有不愿意的时候？
118,哪有不愿意的时候呢
119,我喜欢SM，来吧来吧
120,首先，得有一个喜欢的人
121,说不乐意的一定是老了
122,也就是说青少年时期的会非常乐意
123,爽
124,爽啊
125,《爽》
126,爽啊
127,我就服那个穿花裤子的女的，爽快人
128,这声“会呀”i了
129,酒后怎么算
130,如果是王嘉尔的话 不会 别人wdnmd
131,只会用下半身思考
132,不行
133,是啥
134,都怪有些男人管不住自己的下半身，割以永治
135,不等于不
136,这个律师也配做法律工作？
137,？？？？？？？
138,？会个鬼
139,电影名是啥
140,那你要是愿意会高兴吗？
141,不
142,但我只想和男生摔♂蕉
143,不是
144,我怎么觉得这个问题那么矛盾
145,会很恶心
146,害怕病娇
147,???
148,婚内都有，男女朋友关系算什么
149,你根本不知道他是不是喜欢你，而且我喜欢的人那么对我我会恶心，自己怎么会眼瞎看上畜牲
150,你都不去表白试试，就直接动手啊？
151,欲拒还迎 
152,肯定是高兴的
153,可以别结婚啊
154,怎么会打？只是他力气太大拗不过他罢了
155,说开心的可能是霸道总裁文看多了
156,已经生气了！
157,哈哈哈哈哈哈哈哈哈
158,不会
159,不会
160,？？？？？？
161,不是！！！
162,不会
163,有毛病吧！
164,不会
165,不会
166,开心就不算 不开心另算
167,不会，傻的才会，会反感或恨吧
168,爷爷？你黑篮子
169,不会
170,她在上面？？？？
171,黑森林，
172,牙咩得，牙带油
173,女生说不要就是要的意思
174,会更难过啊……这是个学法律的怎么能问出这种话
175,？？？这都什么三观
176,开心啊
177,我擦，稳赚不亏了你还
178,听罗老师的吧，真的碎了三观
179,哈哈哈真就脸都不要了
180,卧槽牛逼
181,不会
182,所以女人不要假矜持
183,能说出这种话的人 应该投胎去 印度
184,SM呢
185,如果我没有问题，有问题的就该是我的对立面
186,你说的这些情况就算你报警了警察也不会理，法律定得再好有用？谁会保证普通百姓权利？
187,怎么可能
188,"我q,J了她，她跟我要钱算威胁吗？"
189,你得看，这个是个语文问题，还是法律问题，还是心理问题？
190,上面是指骑乘啦！这么离谱了
191,会开心的脑袋指定出了点毛病。我转头就因爱生恨。
192,有毛病吧，我立马因爱转恨
193,？
194,有病
195,？不会
196,我觉得这个事不可能女生喜欢他肯定有点想要吧
197,虽然我是男的也不要这么说我吧
198,这叫繁殖
199,M狂喜
200,你不愿意，钱为什么还会被抢走呢？因为抢劫犯不止会抢钱，还会打人
201,那我肯定不乐意，喝醉了啥也体会不到啊
202,不会
203,传统手艺不能丢，宁可自我解决也不干这种禽兽不如的事【doge】
204,传统手艺不能丢，宁可自我解决也不干这种禽兽不如的事【doge】
205,牛哇
206,割以永治，直接没收作案工具
207,不会!
208,女生们遇到这种问题一定要第一时间报警并保留证据，你要知道人是不能控制自己身体的性反应的，而不是像某些垃圾人说的**
209,她在上面就离谱
210,他就不配
211,！
212,完蛋了，我想qj我老公
213,哈哈哈哈开心到飞起
214,肯定不会啊
215,？？？？？？？？
216,恶心
217,弹幕？？？？？？
218,有病？？？
219,？？？？？？？？？？？？？？？？？？？？？？？
220,？？？？？？？？？？？？
221,我的同事
222,喜欢为什么不愿意
223,这tm不是个悖论？你喜欢他不就是自愿？
224,说会的真让我感到恶心
225,就是好像这样的人就该遭受这样的侵害，收到侵害是受害者自己的原因，所以叫“完美受害者”
226,主要是，这里情景中的喜欢都比较浅，一般不超过对自己的喜欢，我举一个例子吧，重组家庭，无血缘兄妹，互相喜欢，但不能在一起，然后一方采取了。。。。
227,哈哈哈哈哈哈
228,喜欢
229,不会
230,万一我想但只是装的不愿意被胁迫进行呢
231,阉了
232,给你一板砖
233,男孩子们也要好好保护自己！
234,离谱淦哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
235,好家伙
236,？？？？？？
237,人家就高兴了怎么着吧
238,强制开心哈哈哈
239,当然不会啊
240,啊这
241,？？？？
242,啊这
243,？
244,？！？！
245,？？？？？
246,？？？？？？
247,？？？？？
248,不是
249,不会
250,你不如去印度问问
251,逆天
252,不愿意了，还强迫的话。那也不高兴啊
253,我都不愿意
254,那也得经过她的同意啊，这是借口吗？
255,卧槽
256,大明白
257,会很失望
258,好刺激
259,无语，男律师
260,会觉得恶心
261,这倒还好点
262,违背妇女意志
263,？？
264,什么玩意儿
265,不愿意怎么会感到高兴呢
266,明明就是个伪命题
267,还真看人，，
268,这律师法律算是白学了
269,气死了
270,不会
271,不是
272,不会
273,不喜欢了还会恶心
274,好家伙
275,但是比如你喜欢的偶像想……
276,不会
277,超纲！
278,结婚了呢
279,……？缓缓敲出
280,刺激
281,嗯。开心中夹杂着复杂
282,？？？？？？
283,这样一看男人们好理性
284,玩累了直接睡了那种
285,从qj那一刻开始喜欢就终止了
286,真的不会，而且世界观会塌
287,不是
288,姐姐厉害，我悟了
289,什么人渣发言啊啊啊
290,别说那么多花里胡哨的，你先把作案工具上缴了再说？
291,超级恶心的行为啊啊
292,我
293,这也很恶心啊！
294,强行歼灭
295,？？？？
296,只要长得帅都可？
297,高兴个粑粑
298,会
299,罗老师好
300,当然不是
301,就离谱
302,会
303,没有！
