,弹幕
1,为什么是两个男孩子睡在一张床上？
2,让我看看多少姐妹进来了
3,试过了，现在躲着我走，看见我就痛苦面具
4,因为他在想怎么撩其他妹子
5,与爱同居！！！mewgulf
6,哈哈哈未来酱太可爱了
7,呼吸都苦难
8,真的疼
9,淑女们好
10,♂♂
11,被绿才是正解
12,？？？
13,泪目
14,痛得要命
15,淑女们好
16,大姨夫来了
17,缪糕
18,所以每个月总会有时候情绪低落
19,啊啊啊啊缪糕缪糕
20,易感期就草了
21,？？？？？
22,秃头传男不传女哦
23,这是高中生物吧，人教版必修三
24,？
25,从性遗传，前面的
26,疼到动不了，得躺地上缓大半天
27,我一女的看的这么入迷？
28,我来了
29,屁，真的假的
30,15白头，16禿
31,那确实
32,？？？这个素材很不对劲
33,男性显性脱发嘛
34,生命无法承受
35,女生不许看
36,哈哈哈哈哈哈哈
37,淑女来啦
38,淑女前来报道
39,大姨父？？
40,淑女来了
41,梦崽子
42,姐妹们好！
43,哈哈哈哈哈哈哈
44,什么
45,？？？？
46,淑女们好
47,淑女们好
48,真从下面疼到肚子，还想吐
49,顶端优势
50,恐怖
51,淑女们好？
52,哈哈哈哈哈哈哈哈哈哈
53,我帮我朋友看看
54,我就说有大姨夫吧
55,吹一吹就好了
56,还蛋期
57,没错！生理期ber烦！
58,卧槽 MG
59,刘能
60,那他对我是三百六十五天都是冷淡
61,秃顶是伴Y
62,快速蛋匣，一个月换一次
63,？易感期？
64,真的会
65,会死的
66,帮朋友看看
67,割以永治
68,王者
69,帮朋友看看
70,换蛋期
71,？？？？？
72,左边那摊是白的
73,噗哈哈哈哈哈哈 雷神名场面
74,换蛋期
75,咦！与爱同居
76,张东升
77,笑死我了哈哈哈哈哈哈哈哈哈哈哈哈
78,姐？姐，们好
79,？？
80,哈哈哈哈哈
81,淑女我兴冲冲地打开了视频
82,好家伙，举报了
83,淑女来了
84,未来!
85,仙女们好！
86,淑女们好！
87,易感期生草
88,男人真的会蛋疼
89,从性遗传
90,要是白天减弱晚上增强呢？
91,你搞完给我
92,BB
93,救命哈哈哈哈哈哈
94,怎么没有相似处都是人啊
95,后果是你会死的很惨，真的！很惨～
96,说的我一个女的都感觉到疼了
97,哈哈哈
98,惊现mg
99,顶端效应笑死我了
100,抓不住我的未来了
101,女生渗入
102,哈哈哈
103,你就不能让他歇着啊
104,也不一定有可能是你绿了（）
105,淑女来了
106,你可以试着弹一下
107,确实
108,秃顶传男不传女。
109,我开始捂着了
110,我一个女的进来干嘛？
111,！！！！！？？？！？？？我缪糕
112,我以为是大姨夫来了
113, 秃头可是传男不传女哦
114,不自觉的捂住蛋蛋
115,我有个朋友想了解
116,我在抖音上关注你了，没想到你还在这也有视频
117,估计是支持球队输球了
118,姐妹们好
119,淑女好
120,真疼啊
121,姐妹们好
122,已经疼了
123,已经开始痛了
124,会死的
125,血泪相和流
126,怪不得日本电影里的那些秃头这么厉害
127,易感期！！！
128,《搞同》
129,很疼
130,易感期
131,？？？
132,我小学的时候不懂事给踢了一脚 他的兄弟们拿着自己的碗一直在我旁边边敲边给我科普我干的事
133,帮朋友看一下
134,我现在就去找我的男朋友啊
135,我哈哈哈
136,wuhu
137,啊哈哈哈哈哈我竟然硬是凭借与爱让我刷到这个视频
138,别说了，感觉来了好像
139,换蛋期神魔鬼
140,哦吼
141,痛的要命
142,只是情绪，遗j不算吗
143,一袋米
144,憋看了，你妹有男朋友
145,帮我朋友看一看
146,多喝热水
147,跟我朋友，两个大男的也经常睡一起啊 有什么奇怪嘛
148,琦玉
149,代入感很强，已经开始痛了
150,？？？？？？？？？
151,多喝开水
152,卜∵‘
153,防止脱发，请练葵花牌…
154,为了防止脱发，是不是考虑去练葵花宝典
155,與愛同居？？？？？天啊
156,哈哈哈
157,换蛋期
158,姐妹们，开课了！！！
159,节哀啊
160,我最近天天有
161,男秃秃一个，女秃秃一窝
162,你是云人类吧不知道男生有换蛋期dohe
163,有女吗！
164,淑女们好啊
165,天啊TT！！！！缪和糕
166,难怪每天早上这么多（doge）
167,不愧是我
168,所以说早上起来健身是不是最有效？
169,换蛋期
170,淑女来了
171,想不到吧 老娘女的
172,好奇的女生。
173,原來琦玉老師是這樣禿頭的
174,高潮會怎樣(doge)
175,媽欸我一個女的進來好像有點尷尬
176,啊这
177,哈哈哈哈哈哈
178,多 喝 热 水
179,2333
180,琦玉老师
181,营销号既视感
182,？？？？？
183,（╯‵□′）╯︵┴─┴
184,大姨夫
185,mewgulf！！！
186,确实
187,哈哈哈哈哈哈哈
188,我也要去看女生小秘密
189,女生怎么这么多
190,多喝热水
191,哈哈哈哈哈哈哈
192,这次紫蛋换红蛋
193,换言之，爽的时候也最爽？？
194,手动解决
195,来了，老妹
196,我是男的
197,淑女来了
198,淑女～
199,热知识
200,我没有男盆友，那没事了
201,我自己发现了
202,你知道什么叫看着都疼吗
203,男：我生理期到了 女：你从月初说到月末
204,一个月每天都有吗
205,半年换一次蛋
206,蛋疼可以直接往上冲到肝，动都不想动
207,各位淑女们好
208,有啊
209,hhhhhhhhhhhhhhh
210,笑死我了
211,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
212,哈哈哈哈哈哈哈哈哈哈哈哈哈
213,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
214,啪啪啪哈哈哈哈哈哈哈哈哈哈哈海
215,哦
216,哈哈哈哈哈哈哈哈哈哈哈哈
217,林伟祥的别走
218,见封进
219,见封进！！！！！
220,我是女生
221,说换蛋期的是zz吧
222,是真的
223,哦，这个我知道
224,17岁，是个秃头
225,哈哈哈哈
226,顶端优势
