,弹幕
1,卧槽
2,你怎么知道的
3,大蒜味道个鬼
4,我本来不想进，但还是点了进来
5,消毒水味（我问我为啥知道）
6,发消毒水的很懂哦（别问我怎么知道消毒水是）
7,？
8,淡淡的椰子味有点
9,？
10,？
11,为什么给我推荐这个？难道我……
12,？
13,这
14,进来的都是LSP了
15,好家伙
16,白色
17,味道主要取决于你吃了什么东西
18,？？？
19,？？？
20,不好吃的
21,弹幕笑死我了
22,反正不好吃
23,都不对劲
24,亿点点腥罢了
25,?????????
26,蛋清味的
27,皮
28,？？？
29,跟石楠花味道几乎一模一样
30,？？？？？？
31,刚刚下去没感觉黏的 然后有点涩 辣 不好喝...
32,哦~这收藏
33,不是……这不是我……啊？
34,？？？？
35,是因为男朋友叫我看的
36,奶味，你也要一口吧
37,???
38,咸的啊。。
39,嗯？？？？
40,？？？？
41,卧槽
42,我为什么点进来
43,咸的
44,好家伙，你还喝过啊 ！
45,我吐了
46,你怎么又出来了
47,想想你为什么会点进来
48,我为什么会刷到这个？
49,有味道！每个人的都不一样，我上次尝过一个特别xing，然后还有一个有股甜味，还有一个是鼻涕味的
50,牛奶味
51,我为什么会刷到这个
52,石楠花
53,甜的呀
54,没有大蒜味吧？
55,？？？？？？
56,我一男的为什么要看
57,？？？？
58,怪不得星爷看不出
59,各位淑女反思一下
60,麻舌头不好吃
61,腥味啊
62,邢光凯让我过来看看
63,你为啥知道
64,？
65,左边那位好像在憋笑
66,咳咳
67,帮
68,大蒜？？？
69,有一点咸味，腥，少了还可以，多了真咽不下去
70,石楠花的味道
71,虎毒不食子
72,苦，很苦
73,我是男生，凭什么刷到
74,闲的
75,这糟糕的播放量
76,我要好好反思为什么能刷到这个视频
77,帮姐妹看
78,进来的都是女司机吧【歪嘴】
79,想想你为什么会点进来
80,淦
81,我帮我朋友看看
82,屁
83,淦，我家长在旁边！
84,为什么要放在杯子里……
85,众所周知黑色
86,不会有人没吃过吧
87,？？？
88,？？？？
89,我尝过甜甜味道的～
90,明明没有大蒜味。
91,咬
92,起飞
93,石楠花
94,纸巾上呢
95,？？
96,懂还是你懂
97,???
98,？？？？？
99,？？？？？1
100,？
