,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,115.79300,滚动弹幕,25,0xffffff,0,bbc4640a,46608828699508743,这也太模板了吧
2,133.67500,滚动弹幕,25,0xffffff,0,94eaccf9,46522377166651397,我看着都紧张
3,236.00500,顶端弹幕,25,0xfef102,0,c7ebb54e,46519607717527557,梅开二度
4,252.05000,滚动弹幕,25,0xffffff,0,b221e3a,46516199178108935,让你面试回答问题不是让你上课
5,468.10600,滚动弹幕,25,0xffffff,0,3c60fed,46495691453759495,这是老师吧
6,342.83000,滚动弹幕,25,0xffffff,0,4d846ef,46488119389192195,小姐姐挺可爱的
7,383.19500,滚动弹幕,25,0xffffff,0,3fc6dd28,46482570406264839,道德经
8,242.57900,滚动弹幕,25,0xffffff,0,221f718a,46482108442476547,哈哈哈哈
9,73.87500,滚动弹幕,25,0xffffff,0,aa3381bf,46481033801498629,爆炸
10,158.77100,滚动弹幕,25,0xffffff,0,9fbb2607,46478702111883271,语速太快
11,99.23100,滚动弹幕,25,0xffffff,0,6b904c5b,46451213546815493,博士在读，略微紧张
12,91.59900,滚动弹幕,25,0xffffff,0,107f7cd5,46450020650582023,瞬间紧张
13,92.68800,滚动弹幕,25,0xffffff,0,9f24472b,46447619048210439,？？？？
14,325.74200,滚动弹幕,25,0xffffff,0,111bddb8,46426005012217863,我紧张的要去拉粑粑了
15,133.66900,滚动弹幕,25,0xffffff,0,70e6ef9d,46405647090581507,好可怕
16,203.89600,滚动弹幕,25,0xffffff,0,f3ae73f4,46403575738269701,感觉好正式呀
17,184.65700,滚动弹幕,25,0xffffff,0,f3ae73f4,46403565714407427,每个学校的复试都是这样的吗
18,56.23800,顶端弹幕,25,0xffffff,0,d3155b19,46403326570397699,F .ck you(狗头)
19,424.81900,滚动弹幕,25,0xffffff,0,e3eded0c,46400449864007683,英语老师要睡着了，哈哈
20,74.64900,滚动弹幕,25,0xffffff,0,3aa296dc,46399237337907205,谢谢 不紧张了
21,33.15400,滚动弹幕,25,0xffffff,0,b31224b2,46389194393649155,已经要尿了
22,132.04500,滚动弹幕,25,0xffffff,0,d2985f7c,46387772238856263,牛逼
23,86.88900,滚动弹幕,25,0xffffff,0,d2985f7c,46387747465723911,这有一分钟吗
24,74.99200,滚动弹幕,25,0xffffff,0,c3c136e8,46384116461993991,这发音哈哈哈
25,152.53800,滚动弹幕,25,0xffffff,0,6a1acdb1,46382435161604103,我好紧张
26,193.65900,滚动弹幕,25,0xffffff,0,59e0c7fd,46367260241559559,只能模拟环境，不会问这么简单的问题的
27,113.81900,滚动弹幕,25,0xffffff,0,59e0c7fd,46367202105360391,怎么会有这么无聊的规划问题
28,23.69900,滚动弹幕,25,0xffffff,0,59e0c7fd,46367145032417283,吓尿了
29,154.93000,滚动弹幕,25,0xffffff,0,a6b55fd0,46361577605038085,我想读战士
30,251.95900,滚动弹幕,25,0xffffff,0,43f115b8,46361362721406981,她越来越自然了
31,416.88700,滚动弹幕,25,0xffffff,0,a32b51cb,46359106141290503,这才几分钟?？？？
32,154.53000,滚动弹幕,25,0xffffff,0,3f6fd44,46357858095202309,哲学为什么搞科研
